# x rho vel Tmat Trad Frad/c
-8.777494430678047313e-03 1.000000010281766549e+00 2.999999969154700796e+00 1.000000143722507895e+00 1.000000999985565686e+00 -8.071266209217652577e-07
9.115449384551957412e-04 1.000081660039656706e+00 2.999755039884482777e+00 1.001141282600013227e+00 1.007848451623564845e+00 -1.699519918029662735e-02
1.660365154586904493e-03 1.000163469679486994e+00 2.999509671115444753e+00 1.002284269014369844e+00 1.015529913542024820e+00 -3.401591223208737941e-02
2.098844991264954551e-03 1.000245439618985044e+00 2.999263861820519406e+00 1.003429106671887894e+00 1.023053814748281276e+00 -5.106299506206177924e-02
2.410258062111019645e-03 1.000327570277243838e+00 2.999017610969715530e+00 1.004575799287189319e+00 1.030427935030799658e+00 -6.813649654233336350e-02
2.652044470515296098e-03 1.000409862074727041e+00 2.998770917530110047e+00 1.005724350583226512e+00 1.037659471286386692e+00 -8.523646563754004590e-02
2.849790230455886628e-03 1.000492315433274326e+00 2.998523780465836452e+00 1.006874764291298296e+00 1.044755095423257840e+00 -1.023629514046552058e-01
3.017144038455552360e-03 1.000574930776106930e+00 2.998276198738076381e+00 1.008027044151070806e+00 1.051721005232100437e+00 -1.195160029935033452e-01
3.162252762808674678e-03 1.000657708527832535e+00 2.998028171305050282e+00 1.009181193910593910e+00 1.058562969134819287e+00 -1.366956696467668819e-01
3.290371781669585230e-03 1.000740649114452374e+00 2.997779697122003206e+00 1.010337217326317649e+00 1.065286365741337171e+00 -1.539020007000508894e-01
3.405089172212443990e-03 1.000823752963364566e+00 2.997530775141201254e+00 1.011495118163113105e+00 1.071896218841729143e+00 -1.711350455818125005e-01
3.508964205579232290e-03 1.000907020503370770e+00 2.997281404311916919e+00 1.012654900194289720e+00 1.078397228555601606e+00 -1.883948538134300188e-01
3.603886459549088608e-03 1.000990452164682187e+00 2.997031583580421987e+00 1.013816567201613283e+00 1.084793799173457085e+00 -2.056814750099601186e-01
3.691291241369002232e-03 1.001074048378922887e+00 2.996781311889978205e+00 1.014980122975324361e+00 1.091090063820914446e+00 -2.229949588790879345e-01
3.772293955123523154e-03 1.001157809579138025e+00 2.996530588180823962e+00 1.016145571314155838e+00 1.097289906816969918e+00 -2.403353552219913425e-01
3.847778914821098697e-03 1.001241736199798282e+00 2.996279411390166292e+00 1.017312916025352010e+00 1.103396983655267283e+00 -2.577027139339186923e-01
3.918458987808251526e-03 1.001325828676805640e+00 2.996027780452170219e+00 1.018482160924685020e+00 1.109414738912540388e+00 -2.750970850030330928e-01
3.984917237268648452e-03 1.001410087447498265e+00 2.995775694297949876e+00 1.019653309836475730e+00 1.115346422527919046e+00 -2.925185185114667075e-01
4.047636627938376933e-03 1.001494512950658278e+00 2.995523151855555177e+00 1.020826366593608814e+00 1.121195104519280061e+00 -3.099670646353040460e-01
4.107021886792520254e-03 1.001579105626514865e+00 2.995270152049966050e+00 1.022001335037554526e+00 1.126963688205307346e+00 -3.274427736440336800e-01
4.163415313559497982e-03 1.001663865916752050e+00 2.995016693803077334e+00 1.023178219018383794e+00 1.132654922395696984e+00 -3.449456959016409252e-01
4.217109026835592911e-03 1.001748794264513576e+00 2.994762776033693452e+00 1.024357022394788652e+00 1.138271412321132603e+00 -3.624758818660491211e-01
4.268354405992177622e-03 1.001833891114408459e+00 2.994508397657514198e+00 1.025537749034099333e+00 1.143815629657354727e+00 -3.800333820890798298e-01
4.317369279206902111e-03 1.001919156912517650e+00 2.994253557587126302e+00 1.026720402812303590e+00 1.149289921733084086e+00 -3.976182472172855031e-01
