# x rho vel Tmat Trad
-2.242085812241891019e-01 1.000000000000006439e+00 2.999999999999980815e+01 1.000000000000144995e+00 1.000000043024553475e+00
-2.101132267037832679e-01 1.000001280165317086e+00 2.999996159508965121e+01 1.001889983310079169e+00 1.110650699230598448e+00
-2.094240479420943768e-01 1.000002563968616087e+00 2.999992308113873563e+01 1.003785327305770858e+00 1.195805240687608961e+00
-2.090203055177594083e-01 1.000003851423798773e+00 2.999988445773103862e+01 1.005686052270106323e+00 1.266068324180809057e+00
-2.087334287618183293e-01 1.000005142544735381e+00 2.999984572445130837e+01 1.007592178582128684e+00 1.326426163754864884e+00
-2.085105933548491441e-01 1.000006437345351218e+00 2.999980688088264102e+01 1.009503726717426941e+00 1.379658550758440683e+00
-2.083282514752682058e-01 1.000007735839655965e+00 2.999976792660560676e+01 1.011420717248624257e+00 1.427487843817294433e+00
-2.081738587934220397e-01 1.000009038041700382e+00 2.999972886119955362e+01 1.013343170846018104e+00 1.471061401896196275e+00
-2.080399312096572473e-01 1.000010343965534787e+00 2.999968968424385451e+01 1.015271108278227086e+00 1.511185143318563018e+00
-2.079216463116539404e-01 1.000011653625387797e+00 2.999965039531252486e+01 1.017204550412381003e+00 1.548448942409943463e+00
-2.078156584534245621e-01 1.000012967035724953e+00 2.999961099397250663e+01 1.019143518214571165e+00 1.583298790424561009e+00
-2.077196426381985872e-01 1.000014284210746451e+00 2.999957147979868211e+01 1.021088032751436669e+00 1.616080048865423446e+00
-2.076318575685784651e-01 1.000015605164846111e+00 2.999953185236013553e+01 1.023038115189804698e+00 1.647066622617434639e+00
-2.075509781900549966e-01 1.000016929912519448e+00 2.999949211122292780e+01 1.024993786797452788e+00 1.676479623559276488e+00
-2.074759932388175465e-01 1.000018258468256649e+00 2.999945225595326903e+01 1.026955068943908866e+00 1.704500203745574316e+00
-2.074060834817033627e-01 1.000019590846691564e+00 2.999941228611306343e+01 1.028921983100724580e+00 1.731278965312403662e+00
-2.073405893811242073e-01 1.000020927062520659e+00 2.999937220126236070e+01 1.030894550842236024e+00 1.756942496530075504e+00
-2.072789782707128436e-01 1.000022267130482811e+00 2.999933200095993868e+01 1.032872793846190351e+00 1.781598281098278669e+00
-2.072208069131704355e-01 1.000023611065400164e+00 2.999929168476207053e+01 1.034856733894259140e+00 1.805338462723176551e+00
-2.071657020478667732e-01 1.000024958882173687e+00 2.999925125222269529e+01 1.036846392872649236e+00 1.828242680275757870e+00
-2.071133463692621801e-01 1.000026310595779178e+00 2.999921070289350311e+01 1.038841792772709827e+00 1.850380269075818651e+00
-2.070634706496739530e-01 1.000027666221254385e+00 2.999917003632432611e+01 1.040842955691570371e+00 1.871811981812285364e+00
-2.070158450908299308e-01 1.000029025773703228e+00 2.999912925206303527e+01 1.042849903832741010e+00 1.892591377847167688e+00
-2.069702703319380444e-01 1.000030389268309117e+00 2.999908834965511417e+01 1.044862659506702540e+00 1.912765946760206726e+00
-2.069265714468974671e-01 1.000031756720332954e+00 2.999904732864373003e+01 1.046881245131526805e+00 1.932378007073863868e+00
-2.068845946933799973e-01 1.000033128145108474e+00 2.999900618856987577e+01 1.048905683233514852e+00 1.951465440946804630e+00
-2.068442048063897087e-01 1.000034503558040466e+00 2.999896492897241984e+01 1.050935996447825538e+00 1.970062302443380542e+00
-2.068052821654118301e-01 1.000035882974606993e+00 2.999892354938804218e+01 1.052972207519104364e+00 1.988199326676840961e+00
-2.067677202469304920e-01 1.000037266410362280e+00 2.999888204935113833e+01 1.055014339302115189e+00 2.005904358324542169e+00
-2.067314228926920017e-01 1.000038653880946704e+00 2.999884042839354237e+01 1.057062414762357516e+00 2.023202716187694872e+00
-2.066963037181856755e-01 1.000040045402072142e+00 2.999879868604493893e+01 1.059116456976744614e+00 2.040117486295520255e+00
-2.066622858826043796e-01 1.000041440989514419e+00 2.999875682183310133e+01 1.061176489134269652e+00 2.056669773554576697e+00
-2.066292997091687123e-01 1.000042840659126853e+00 2.999871483528350069e+01 1.063242534536630313e+00 2.072878936274691775e+00
-2.065972814885521924e-01 1.000044244426851803e+00 2.999867272591892586e+01 1.065314616598862285e+00 2.088762785643916597e+00
-2.065661743932750427e-01 1.000045652308679589e+00 2.999863049326075526e+01 1.067392758850092882e+00 2.104337719523760697e+00
-2.065359245049608328e-01 1.000047064320733980e+00 2.999858813682635983e+01 1.069476984934021546e+00 2.119618929550784792e+00
-2.065064821755026037e-01 1.000048480479222457e+00 2.999854565613061652e+01 1.071567318609703223e+00 2.134620487733263960e+00
-2.064778029533433090e-01 1.000049900800397129e+00 2.999850305068705580e+01 1.073663783752302203e+00 2.149355429299520281e+00
-2.064498461683132446e-01 1.000051325300586047e+00 2.999846032000695573e+01 1.075766404353712957e+00 2.163835872233902169e+00
