# Athena++ data at time=1.800000e+00  cycle=1734  variables=prim 
# i       x1v         rho          press          vel1         vel2         vel3     
0003  3.12500e-03  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0004  9.37500e-03  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0005  1.56250e-02  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0006  2.18750e-02  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0007  2.81250e-02  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0008  3.43750e-02  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0009  4.06250e-02  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0010  4.68750e-02  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0011  5.31250e-02  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0012  5.93750e-02  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0013  6.56250e-02  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0014  7.18750e-02  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0015  7.81250e-02  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0016  8.43750e-02  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0017  9.06250e-02  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0018  9.68750e-02  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0019  1.03125e-01  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0020  1.09375e-01  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0021  1.15625e-01  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0022  1.21875e-01  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0023  1.28125e-01  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0024  1.34375e-01  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0025  1.40625e-01  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0026  1.46875e-01  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0027  1.53125e-01  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0028  1.59375e-01  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0029  1.65625e-01  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0030  1.71875e-01  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0031  1.78125e-01  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0032  1.84375e-01  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0033  1.90625e-01  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0034  1.96875e-01  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0035  2.03125e-01  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0036  2.09375e-01  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0037  2.15625e-01  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0038  2.21875e-01  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0039  2.28125e-01  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0040  2.34375e-01  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0041  2.40625e-01  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0042  2.46875e-01  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0043  2.53125e-01  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0044  2.59375e-01  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0045  2.65625e-01  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0046  2.71875e-01  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0047  2.78125e-01  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0048  2.84375e-01  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0049  2.90625e-01  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0050  2.96875e-01  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0051  3.03125e-01  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0052  3.09375e-01  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0053  3.15625e-01  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0054  3.21875e-01  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0055  3.28125e-01  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0056  3.34375e-01  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0057  3.40625e-01  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0058  3.46875e-01  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0059  3.53125e-01  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0060  3.59375e-01  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0061  3.65625e-01  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0062  3.71875e-01  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0063  3.78125e-01  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0064  3.84375e-01  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0065  3.90625e-01  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0066  3.96875e-01  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0067  4.03125e-01  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0068  4.09375e-01  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0069  4.15625e-01  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0070  4.21875e-01  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0071  4.28125e-01  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0072  4.34375e-01  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0073  4.40625e-01  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0074  4.46875e-01  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0075  4.53125e-01  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0076  4.59375e-01  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0077  4.65625e-01  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0078  4.71875e-01  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0079  4.78125e-01  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0080  4.84375e-01  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0081  4.90625e-01  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0082  4.96875e-01  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0083  5.03125e-01  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0084  5.09375e-01  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0085  5.15625e-01  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0086  5.21875e-01  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0087  5.28125e-01  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
