   i     x           U           V           Trad/T_H    Tmat/T_H
    1  1.000000E-01  3.906340E-01  1.953051E-01  7.905740E-01  6.647807E-01
    2  3.000000E-01  2.671568E-01  1.182959E-01  7.189382E-01  5.864654E-01
    3  5.000000E-01  1.760990E-01  6.909729E-02  6.477974E-01  5.127023E-01
    4  7.000000E-01  1.117517E-01  3.888309E-02  5.781806E-01  4.440585E-01
    5  9.000000E-01  6.818000E-02  2.105658E-02  5.109922E-01  3.809316E-01
    6  1.100000E+00  3.993030E-02  1.096048E-02  4.470187E-01  3.235619E-01
    7  1.300000E+00  2.241328E-02  5.477350E-03  3.869246E-01  2.720462E-01
    8  1.500000E+00  1.203891E-02  2.624945E-03  3.312430E-01  2.263498E-01
    9  1.700000E+00  6.178706E-03  1.205250E-03  2.803654E-01  1.863242E-01
   10  1.900000E+00  3.025717E-03  5.299867E-04  2.345347E-01  1.517282E-01
   11  2.100000E+00  1.411955E-03  2.234195E-04  1.938453E-01  1.222588E-01
   12  2.300000E+00  6.271505E-04  9.074925E-05  1.582497E-01  9.760246E-02
   13  2.500000E+00  2.648742E-04  3.611217E-05  1.275733E-01  7.751994E-02
   14  2.700000E+00  1.062832E-04  1.476220E-05  1.015351E-01  6.198516E-02
   15  2.900000E+00  4.049762E-05  6.900115E-06  7.977327E-02  5.125239E-02
   16  3.100000E+00  1.465780E-05  4.225611E-06  6.187529E-02  4.533905E-02
   17  3.300000E+00  5.053005E-06  3.443428E-06  4.741191E-02  4.307723E-02
   18  3.500000E+00  1.676622E-06  3.315728E-06  3.598394E-02  4.267217E-02
   19  3.700000E+00  5.640229E-07  3.411499E-06  2.740465E-02  4.297702E-02
   20  3.900000E+00  2.119955E-07  3.564331E-06  2.145763E-02  4.345047E-02
   21  4.100000E+00  1.078639E-07  3.736546E-06  1.812254E-02  4.396606E-02
   22  4.300000E+00  7.893862E-08  3.914043E-06  1.676187E-02  4.447914E-02
   23  4.500000E+00  7.146531E-08  4.092833E-06  1.635023E-02  4.497861E-02
   24  4.700000E+00  6.970533E-08  4.271837E-06  1.624862E-02  4.546254E-02
   25  4.900000E+00  7.847584E-08  4.460015E-06  1.673725E-02  4.595514E-02
   26  5.100000E+00  7.807117E-08  4.638657E-06  1.671563E-02  4.640856E-02
   27  5.300000E+00  7.767861E-08  4.817234E-06  1.669457E-02  4.684890E-02
   28  5.500000E+00  7.724597E-08  4.995755E-06  1.667128E-02  4.727704E-02
   29  5.700000E+00  8.600902E-08  5.183466E-06  1.712521E-02  4.771502E-02
   30  5.900000E+00  8.515642E-08  5.361572E-06  1.708261E-02  4.811971E-02
   31  6.100000E+00  8.428929E-08  5.539661E-06  1.703896E-02  4.851441E-02
   32  6.300000E+00  9.287899E-08  5.727209E-06  1.745739E-02  4.891992E-02
   33  6.500000E+00  9.163237E-08  5.904923E-06  1.739852E-02  4.929508E-02
   34  6.700000E+00  9.038590E-08  6.082636E-06  1.733905E-02  4.966186E-02
   35  6.900000E+00  9.874000E-08  6.269972E-06  1.772651E-02  5.003990E-02
   36  7.100000E+00  9.716362E-08  6.447370E-06  1.765533E-02  5.039015E-02
   37  7.300000E+00  9.563902E-08  6.624825E-06  1.758566E-02  5.073336E-02
   38  7.500000E+00  1.037452E-07  6.811912E-06  1.794701E-02  5.108781E-02
   39  7.700000E+00  1.019109E-07  6.989057E-06  1.786714E-02  5.141675E-02
   40  7.900000E+00  1.001528E-07  7.166317E-06  1.778958E-02  5.173971E-02
   41  8.100000E+00  1.079268E-07  7.353094E-06  1.812518E-02  5.207359E-02
   42  8.300000E+00  1.058710E-07  7.530045E-06  1.803824E-02  5.238409E-02
   43  8.500000E+00  1.038948E-07  7.707079E-06  1.795347E-02  5.268930E-02
   44  8.700000E+00  1.114426E-07  7.893632E-06  1.827102E-02  5.300529E-02
   45  8.900000E+00  1.092535E-07  8.070437E-06  1.818063E-02  5.329964E-02
   46  9.100000E+00  1.167422E-07  8.257032E-06  1.848447E-02  5.360509E-02
   47  9.300000E+00  1.142950E-07  8.433627E-06  1.838683E-02  5.388943E-02
   48  9.500000E+00  1.119543E-07  8.610330E-06  1.829196E-02  5.416952E-02
   49  9.700000E+00  1.192204E-07  8.796637E-06  1.858179E-02  5.446019E-02
