time,temperature
0.0000000000e+00,1.0000000000e+07
5.2020461162e+13,8.3140646087e+06
1.0924296844e+14,6.7082475354e+06
1.7218772645e+14,5.3683024022e+06
2.4142696025e+14,4.3081547198e+06
3.1759011744e+14,3.4552861965e+06
4.0136959035e+14,2.7915261723e+06
4.9352701055e+14,2.2361045372e+06
5.9490017276e+14,1.8020815234e+06
7.0641065120e+14,1.4819457679e+06
8.2907217748e+14,1.2337275791e+06
9.6399985639e+14,1.0199422015e+06
1.1124203032e+15,8.3540328304e+05
1.2756827947e+15,6.7230009208e+05
1.4552715353e+15,5.2117941507e+05
1.6528191500e+15,3.6736326302e+05
1.8701215262e+15,1.9897926118e+05
2.1091541399e+15,6.1514932691e+04
2.3720900151e+15,1.7649222894e+04
2.6613194778e+15,1.7649200553e+04
2.9794718867e+15,1.7649277080e+04
3.3294395365e+15,1.7649525355e+04
3.7144039514e+15,1.7649417056e+04
4.1378648077e+15,1.7649237380e+04
4.6036717496e+15,1.7649218465e+04
5.1160593857e+15,1.7649192313e+04
5.6796857854e+15,1.7649132595e+04
6.2996748251e+15,1.7649389407e+04
6.9816627688e+15,1.7649376875e+04
7.7318495069e+15,1.7649330510e+04
8.5570549187e+15,1.7648993248e+04
9.4647808717e+15,1.7649281782e+04
1.0000000000e+16,1.7649416238e+04
