time,temperature
0.0000000000e+00,1.0000000000e+07
4.1616368930e+14,1.0206393544e+07
8.3391061018e+14,1.0128249792e+07
1.2532659821e+15,1.0049761845e+07
1.6742557373e+15,9.9709255660e+06
2.0969065180e+15,9.8917466432e+06
2.5212454904e+15,9.8122231795e+06
2.9473005270e+15,9.7323494276e+06
3.3751003159e+15,9.6521194709e+06
3.8046743953e+15,9.5715272167e+06
4.2360531906e+15,9.4905663884e+06
4.6692680522e+15,9.4092305178e+06
5.1043512965e+15,9.3275129362e+06
5.5413362491e+15,9.2454067657e+06
5.9802572904e+15,9.1629049102e+06
6.4211499037e+15,9.0800000470e+06
6.8640507266e+15,8.9966846119e+06
7.3089976052e+15,8.9129507895e+06
7.7560296523e+15,8.8288774116e+06
8.2051850976e+15,8.7445471452e+06
8.6565011188e+15,8.6599565137e+06
9.1100160154e+15,8.5751017149e+06
9.5657692635e+15,8.4899788452e+06
1.0023801567e+16,8.4045838956e+06
1.0484154913e+16,8.3189127480e+06
1.0946872629e+16,8.2329611704e+06
1.1411999446e+16,8.1467248122e+06
1.1879581559e+16,8.0601991999e+06
1.2349666701e+16,7.9733797314e+06
1.2822304214e+16,7.8862134667e+06
1.3297546579e+16,7.7985581822e+06
1.3775452328e+16,7.7103852851e+06
1.4256082878e+16,7.6216828108e+06
1.4739502169e+16,7.5324383039e+06
1.5225776809e+16,7.4426387888e+06
1.5714976238e+16,7.3522707379e+06
1.6207172903e+16,7.2613200381e+06
1.6702442448e+16,7.1697719531e+06
1.7200863918e+16,7.0776102688e+06
1.7702520010e+16,6.9847341129e+06
1.8207500353e+16,6.8910414804e+06
1.8715902037e+16,6.7965072852e+06
1.9227827249e+16,6.7011050859e+06
1.9743383668e+16,6.6048069792e+06
2.0262684894e+16,6.5075834822e+06
2.0785850926e+16,6.4094034033e+06
2.1313008692e+16,6.3102336975e+06
2.1844292636e+16,6.2098720806e+06
2.2379852577e+16,6.1080988304e+06
2.2919855841e+16,6.0048530521e+06
2.3464481653e+16,5.9000698935e+06
2.4013922363e+16,5.7936795056e+06
2.4568384863e+16,5.6856064820e+06
2.5128092218e+16,5.5758837902e+06
2.5693279727e+16,5.4652062594e+06
2.6264161444e+16,5.3537309729e+06
2.6840955983e+16,5.2414312479e+06
2.7423896801e+16,5.1282787642e+06
2.8013233655e+16,5.0142434228e+06
2.8609234267e+16,4.8983430024e+06
2.9212244686e+16,4.7794404853e+06
2.9822709846e+16,4.6573123052e+06
3.0441127291e+16,4.5317180732e+06
3.1068055729e+16,4.4022821550e+06
3.1704133877e+16,4.2680247458e+06
3.2350138979e+16,4.1283647101e+06
3.3006980176e+16,3.9827422515e+06
3.3675721733e+16,3.8289238052e+06
3.4357763625e+16,3.6640566440e+06
3.5054981195e+16,3.4864502958e+06
3.5769736971e+16,3.2929539467e+06
3.6505192783e+16,3.0725466517e+06
3.7266570513e+16,2.8138204363e+06
3.8062182326e+16,2.4951856784e+06
3.8907068021e+16,2.0574767508e+06
3.9836442286e+16,1.2140014944e+06
4.0858753978e+16,9.1837097846e+03
4.1983296839e+16,9.1290576607e+03
4.3220293986e+16,9.1290932797e+03
4.4580990847e+16,9.1291740037e+03
4.6077757395e+16,9.1291500359e+03
4.7724200598e+16,9.1292566645e+03
4.9535288120e+16,9.1290934410e+03
5.1527484395e+16,9.1289484021e+03
5.3718900298e+16,9.1292406972e+03
5.6129457791e+16,9.1290794372e+03
5.8781071033e+16,9.1291242950e+03
6.1697845599e+16,9.1290096283e+03
6.4906297622e+16,9.1291859087e+03
6.8435594848e+16,9.1292706973e+03
7.2317821795e+16,9.1291785614e+03
7.6588271438e+16,9.1290838498e+03
8.1285766045e+16,9.1291567615e+03
8.6453010112e+16,9.1292461174e+03
9.2136978587e+16,9.1291364350e+03
9.8389343908e+16,9.1291671335e+03
1.0000000000e+17,9.1291950863e+03
