x,Trad,Tmat
-3.980468750000e-02,9.992853902444e-01,9.999826682403e-01
-3.941406250000e-02,9.995240534775e-01,9.999680730426e-01
-3.902343750000e-02,9.996102943204e-01,9.999522100651e-01
-3.863281250000e-02,9.997399792436e-01,9.999442075181e-01
-3.824218750000e-02,9.997859650211e-01,9.999369841342e-01
-3.785156250000e-02,9.998468986418e-01,9.999333747249e-01
-3.746093750000e-02,9.998674981366e-01,9.999303602719e-01
-3.707031250000e-02,9.998964380916e-01,9.999287622500e-01
-3.667968750000e-02,9.999067888798e-01,9.999277336304e-01
-3.628906250000e-02,9.999233840298e-01,9.999271116939e-01
-3.589843750000e-02,9.999306304543e-01,9.999271229024e-01
-3.550781250000e-02,9.999459848435e-01,9.999276413144e-01
-3.511718750000e-02,9.999549978978e-01,9.999279870012e-01
-3.472656250000e-02,9.999788006326e-01,9.999298842957e-01
-3.433593750000e-02,9.999949517946e-01,9.999309264348e-01
-3.394531250000e-02,1.000041160858e+00,9.999352788215e-01
-3.355468750000e-02,1.000074161021e+00,9.999376211287e-01
-3.316406250000e-02,1.000169645523e+00,9.999469331110e-01
-3.277343750000e-02,1.000239409481e+00,9.999519677705e-01
-3.238281250000e-02,1.000438457401e+00,9.999715417303e-01
-3.199218750000e-02,1.000590367494e+00,9.999823657786e-01
-3.160156250000e-02,1.000993561367e+00,1.000023084774e+00
-3.121093750000e-02,1.001348323072e+00,1.000046524575e+00
-3.082031250000e-02,1.002148006743e+00,1.000131614326e+00
-3.042968750000e-02,1.002954953667e+00,1.000182026073e+00
-3.003906250000e-02,1.004557115392e+00,1.000360230028e+00
-2.964843750000e-02,1.006341757848e+00,1.000468144534e+00
-2.925781250000e-02,1.009563270248e+00,1.000841899340e+00
-2.886718750000e-02,1.013411584382e+00,1.001072235151e+00
-2.847656250000e-02,1.019854897828e+00,1.001856004892e+00
-2.808593750000e-02,1.027908986699e+00,1.002347357827e+00
-2.769531250000e-02,1.040544594591e+00,1.003984257104e+00
-2.730468750000e-02,1.056687161409e+00,1.005037844208e+00
-2.691406250000e-02,1.080451327385e+00,1.008401396429e+00
-2.652343750000e-02,1.110746968923e+00,1.010712674626e+00
-2.613281250000e-02,1.152429571295e+00,1.017219931697e+00
-2.574218750000e-02,1.204335780780e+00,1.023146948279e+00
