# r_over_r0 reduced_flux Erad_cgs Frad_cgs
1.000000000000000048e-04 3.755101031908026650e-05 5.849260643223253650e-07 6.584810833497746207e-01
1.441718602973596219e-03 5.413927440706735881e-04 5.849081618804471932e-07 9.493378914228637555e+00
2.704299640581599162e-02 1.013562762624721503e-02 5.846128128060447862e-07 1.776395559784417060e+02
5.264427420865838703e-02 1.961668425674432600e-02 5.840360439316570708e-07 3.434677422808198344e+02
7.824555201150078243e-02 2.888029728914901992e-02 5.830889736094660357e-07 5.048439908936409779e+02
1.038468298143431778e-01 3.783067358743209818e-02 5.817195410834095839e-07 6.597485279428594822e+02
1.779956739478935068e-01 6.114121918945376183e-02 5.759656028151289446e-07 1.055726310902443856e+03
2.521445180814438358e-01 7.899856349142272971e-02 5.696285693863173242e-07 1.349061225503343167e+03
3.262933622149941648e-01 9.023184801610512062e-02 5.638115733303117799e-07 1.525156961640026111e+03
4.062237502412902046e-01 9.486076267381476912e-02 5.588646660393681869e-07 1.589329583582680470e+03
4.861541382675862444e-01 9.293464799427836320e-02 5.553646422860039258e-07 1.547307347592608494e+03
5.660845262938822842e-01 8.651743901096156653e-02 5.525405597518683318e-07 1.433139683424766645e+03
6.460149143201783239e-01 7.823584123424670578e-02 5.460810899423697447e-07 1.280806719571427266e+03
6.807459332032566035e-01 7.481212301298670320e-02 5.394891460892043165e-07 1.209972204515023122e+03
7.154769520863348831e-01 7.186691853201436497e-02 5.286291820213997449e-07 1.138940038957400475e+03
7.502079709694131626e-01 6.968198530201698271e-02 5.117644526806205409e-07 1.069082781484670022e+03
7.849389898524914422e-01 6.855134780844877873e-02 4.872960447401361441e-07 1.001450729546252319e+03
8.196700087355697217e-01 6.879633527401403381e-02 4.542155802142597972e-07 9.368024854275187181e+02
8.521778939234854189e-01 7.061262999568297671e-02 4.154382001870662751e-07 8.794466892024265690e+02
8.846857791114011160e-01 7.438479746469706111e-02 3.701317120995621678e-07 8.253937649803749537e+02
9.171936642993168132e-01 8.066352339760292367e-02 3.203808828403107721e-07 7.747551733282971327e+02
9.497015494872325103e-01 9.020744304431384253e-02 2.690248161789397429e-07 7.275375597170433366e+02
1.003030219610614449e+00 1.158923399574568469e-01 1.891775328524417536e-07 6.572717886984859206e+02
1.024463928995228423e+00 1.311152943576374130e-01 1.606398288646572669e-07 6.314330214299012596e+02
1.045897638379842398e+00 1.499304699665272855e-01 1.350219548090641344e-07 6.068970081536025418e+02
1.067331347764456373e+00 1.729284538875688892e-01 1.125730104992235057e-07 5.836082760506781142e+02
1.088765057149070348e+00 2.007054354675900376e-01 9.332050127159230878e-08 5.615092306215482267e+02
1.118146872845352524e+00 2.474951844047469651e-01 7.184122515985754712e-08 5.330417009732285578e+02
1.147446050287565411e+00 3.040530980337316502e-01 5.557934245197780048e-08 5.066214110713187893e+02
1.176745227729778298e+00 3.688774428023082197e-01 4.358752202844885829e-08 4.820199144752725715e+02
1.206044405171991185e+00 4.385500681459409411e-01 3.491927786461010067e-08 4.590977238732691035e+02
1.235343582614204072e+00 5.085856904875329931e-01 2.870876160981069554e-08 4.377229311114550114e+02
1.256595497477035250e+00 5.571739689197992007e-01 2.533078252614400490e-08 4.231166615085418243e+02
