# x density velocity pressure
0.000244141 0.250007 6.10946e-05 3.28185e-13
0.000732422 0.250083 0.000183074 8.7573e-13
0.0012207 0.250063 0.000305094 2.84974e-12
0.00170898 0.250005 0.000427154 5.14734e-12
0.00219727 0.249969 0.000549242 7.11755e-12
0.00268555 0.249965 0.000671338 8.53135e-12
0.00317383 0.249967 0.00079343 9.38988e-12
0.00366211 0.249976 0.000915515 9.80039e-12
0.00415039 0.249988 0.00103759 9.91878e-12
0.00463867 0.249997 0.00115967 9.92532e-12
0.00512695 0.250003 0.00128174 9.92561e-12
0.00561523 0.250007 0.00140381 9.92577e-12
0.00610352 0.250009 0.00152587 9.92587e-12
0.0065918 0.250011 0.00164794 9.92594e-12
0.00708008 0.250012 0.00177001 9.92601e-12
0.00756836 0.250014 0.00189208 9.9261e-12
0.00805664 0.250015 0.00201415 9.92619e-12
0.00854492 0.250017 0.00213621 9.9263e-12
0.0090332 0.250019 0.00225828 9.92643e-12
0.00952148 0.250021 0.00238035 9.92656e-12
0.0100098 0.250023 0.00250242 9.9267e-12
0.010498 0.250025 0.00262448 9.92686e-12
0.0109863 0.250028 0.00274655 9.92702e-12
0.0114746 0.25003 0.00286861 9.92719e-12
0.0119629 0.250033 0.00299068 9.92736e-12
0.0124512 0.250036 0.00311274 9.92754e-12
0.0129395 0.250039 0.00323481 9.92773e-12
0.0134277 0.250042 0.00335687 9.92793e-12
0.013916 0.250045 0.00347893 9.92814e-12
0.0144043 0.250048 0.003601 9.92835e-12
0.0148926 0.250051 0.00372306 9.92857e-12
0.0153809 0.250055 0.00384512 9.92879e-12
0.0158691 0.250058 0.00396718 9.92903e-12
0.0163574 0.250062 0.00408924 9.92927e-12
0.0168457 0.250066 0.0042113 9.92952e-12
0.017334 0.250069 0.00433336 9.92977e-12
0.0178223 0.250073 0.00445542 9.93003e-12
0.0183105 0.250078 0.00457748 9.93031e-12
0.0187988 0.250082 0.00469954 9.93058e-12
0.0192871 0.250086 0.00482159 9.93087e-12
0.0197754 0.25009 0.00494365 9.93114e-12
0.0202637 0.250095 0.00506571 9.93148e-12
0.020752 0.250099 0.00518776 9.93174e-12
0.0212402 0.250105 0.00530982 9.93211e-12
0.0217285 0.250108 0.00543186 9.9324e-12
0.0222168 0.250115 0.00555393 9.93274e-12
0.0227051 0.250118 0.00567595 9.93308e-12
0.0231934 0.250126 0.00579805 9.93345e-12
0.0236816 0.250129 0.00592003 9.93375e-12
0.0241699 0.250137 0.00604218 9.93415e-12
0.0246582 0.25014 0.00616409 9.93448e-12
0.0251465 0.250147 0.0062863 9.9349e-12
0.0256348 0.250152 0.00640816 9.93519e-12
0.026123 0.250157 0.0065304 9.93568e-12
0.0266113 0.250167 0.00665227 9.9361e-12
0.0270996 0.250168 0.00677443 9.93647e-12
0.0275879 0.250179 0.00689646 9.93696e-12
0.0280762 0.250181 0.00701838 9.93723e-12
0.0285645 0.250191 0.00714067 9.93782e-12
0.0290527 0.250195 0.00726236 9.93802e-12
0.029541 0.2502 0.00738477 9.93856e-12
0.0300293 0.250214 0.00750651 9.93918e-12
0.0305176 0.250213 0.00762868 9.93953e-12
0.0310059 0.250226 0.0077508 9.94004e-12
0.0314941 0.25023 0.00787256 9.94028e-12
0.0319824 0.250234 0.00799494 9.94094e-12
0.0324707 0.25025 0.00811671 9.94158e-12
0.032959 0.250249 0.00823879 9.94181e-12
0.0334473 0.250261 0.008361 9.94246e-12
0.0339355 0.250269 0.00848271 9.94284e-12
0.0344238 0.25027 0.00860502 9.9434e-12
0.0349121 0.250288 0.00872697 9.94408e-12
0.0354004 0.25029 0.00884882 9.94428e-12
0.0358887 0.250295 0.00897115 9.94499e-12
0.036377 0.250313 0.00909294 9.94571e-12
0.0368652 0.250313 0.00921495 9.94594e-12
0.0373535 0.250322 0.00933721 9.94668e-12
0.0378418 0.250337 0.00945894 9.94728e-12
0.0383301 0.250337 0.00958107 9.94762e-12
0.0388184 0.25035 0.00970323 9.94844e-12
0.0393066 0.250362 0.00982496 9.94894e-12
0.0397949 0.250363 0.00994715 9.94941e-12
0.0402832 0.250379 0.0100692 9.95027e-12
0.0407715 0.250389 0.010191 9.95069e-12
0.0412598 0.25039 0.0103132 9.95121e-12
0.041748 0.250407 0.0104352 9.95214e-12
0.0422363 0.250417 0.010557 9.95257e-12
0.0427246 0.250418 0.0106792 9.95311e-12
0.0432129 0.250436 0.0108013 9.95408e-12
0.0437012 0.250447 0.010923 9.95454e-12
0.0441895 0.250448 0.0110452 9.95499e-12
0.0446777 0.250464 0.0111673 9.95606e-12
0.045166 0.250479 0.011289 9.95664e-12
0.0456543 0.250479 0.0114111 9.95693e-12
0.0461426 0.250493 0.0115333 9.95807e-12
0.0466309 0.250511 0.011655 9.95885e-12
0.0471191 0.250512 0.0117771 9.95904e-12
0.0476074 0.250522 0.0118992 9.96003e-12
0.0480957 0.250544 0.012021 9.96106e-12
0.048584 0.250547 0.012143 9.96127e-12
0.0490723 0.250552 0.0122652 9.96204e-12
0.0495605 0.250576 0.012387 9.9633e-12
0.0500488 0.250584 0.0125089 9.96363e-12
0.0505371 0.250586 0.0126311 9.96414e-12
0.0510254 0.250607 0.012753 9.96553e-12
0.0515137 0.250622 0.0128748 9.96613e-12
0.052002 0.250623 0.0129969 9.9664e-12
0.0524902 0.250637 0.013119 9.96764e-12
0.0529785 0.250659 0.0132407 9.96868e-12
0.0534668 0.250662 0.0133627 9.9689e-12
0.0539551 0.250669 0.0134849 9.96973e-12
0.0544434 0.250695 0.0136067 9.9712e-12
0.0549316 0.250704 0.0137285 9.97161e-12
0.0554199 0.250706 0.0138507 9.97203e-12
0.0559082 0.250727 0.0139726 9.97351e-12
0.0563965 0.250746 0.0140944 9.97442e-12
0.0568848 0.250749 0.0142164 9.97464e-12
0.057373 0.250758 0.0143385 9.97565e-12
0.0578613 0.250785 0.0144603 9.97716e-12
0.0583496 0.250794 0.0145822 9.97757e-12
0.0588379 0.250797 0.0147043 9.97802e-12
0.0593262 0.250818 0.0148262 9.97959e-12
0.0598145 0.250839 0.014948 9.98061e-12
0.0603027 0.250843 0.01507 9.98086e-12
0.060791 0.250852 0.0151921 9.98178e-12
0.0612793 0.250879 0.0153139 9.98347e-12
0.0617676 0.250892 0.0154357 9.98405e-12
0.0622559 0.250895 0.0155578 9.98439e-12
0.0627441 0.250913 0.0156798 9.98587e-12
0.0632324 0.250938 0.0158015 9.98723e-12
0.0637207 0.250945 0.0159235 9.98758e-12
0.064209 0.25095 0.0160455 9.98822e-12
0.0646973 0.250976 0.0161674 9.99001e-12
0.0651855 0.250996 0.0162892 9.99101e-12
0.0656738 0.251 0.0164112 9.99129e-12
0.0661621 0.251011 0.0165332 9.99231e-12
0.0666504 0.25104 0.016655 9.99414e-12
0.0671387 0.251055 0.0167768 9.99486e-12
0.067627 0.251058 0.0168988 9.9952e-12
0.0681152 0.251075 0.0170207 9.99659e-12
0.0686035 0.251103 0.0171425 9.99828e-12
0.0690918 0.251115 0.0172644 9.99883e-12
0.0695801 0.251119 0.0173864 9.99929e-12
0.0700684 0.251141 0.0175083 1.0001e-11
0.0705566 0.251168 0.0176301 1.00025e-11
0.0710449 0.251177 0.017752 1.0003e-11
0.0715332 0.251183 0.0178739 1.00036e-11
