  i          x            density        pressure        velocity

   1   0.0000000E+00   1.0000000E+00   6.6666670E-02   0.0000000E+00
   2   1.8036073E-02   1.0000000E+00   6.6666670E-02   0.0000000E+00
   3   3.6072146E-02   1.0000000E+00   6.6666670E-02   0.0000000E+00
   4   5.4108217E-02   1.0000000E+00   6.6666670E-02   0.0000000E+00
   5   7.2144292E-02   1.0000000E+00   6.6666670E-02   0.0000000E+00
   6   9.0180367E-02   1.0000000E+00   6.6666670E-02   0.0000000E+00
   7   1.0821643E-01   1.0000000E+00   6.6666670E-02   0.0000000E+00
   8   1.2625252E-01   1.0000000E+00   6.6666670E-02   0.0000000E+00
   9   1.4428858E-01   1.0000000E+00   6.6666670E-02   0.0000000E+00
  10   1.6232465E-01   1.0000000E+00   6.6666670E-02   0.0000000E+00
  11   1.8036073E-01   1.0000000E+00   6.6666670E-02   0.0000000E+00
  12   1.9839680E-01   1.0000000E+00   6.6666670E-02   0.0000000E+00
  13   2.1643287E-01   1.0000000E+00   6.6666670E-02   0.0000000E+00
  14   2.3446895E-01   1.0000000E+00   6.6666670E-02   0.0000000E+00
  15   2.5250503E-01   1.0000000E+00   6.6666670E-02   0.0000000E+00
  16   2.7054110E-01   1.0000000E+00   6.6666670E-02   0.0000000E+00
  17   2.8857717E-01   1.0000000E+00   6.6666670E-02   0.0000000E+00
  18   3.0661324E-01   1.0000000E+00   6.6666670E-02   0.0000000E+00
  19   3.2464930E-01   1.0000000E+00   6.6666670E-02   0.0000000E+00
  20   3.4268540E-01   1.0000000E+00   6.6666670E-02   0.0000000E+00
  21   3.6072147E-01   1.0000000E+00   6.6666670E-02   0.0000000E+00
  22   3.7875754E-01   1.0000000E+00   6.6666670E-02   0.0000000E+00
  23   3.9679360E-01   1.0000000E+00   6.6666670E-02   0.0000000E+00
  24   4.1482967E-01   1.0000000E+00   6.6666670E-02   0.0000000E+00
  25   4.3286574E-01   1.0000000E+00   6.6666670E-02   0.0000000E+00
  26   4.5090184E-01   1.0000000E+00   6.6666670E-02   0.0000000E+00
  27   4.6893790E-01   1.0000000E+00   6.6666670E-02   0.0000000E+00
  28   4.8697397E-01   1.0000000E+00   6.6666670E-02   0.0000000E+00
  29   5.0501007E-01   1.0000000E+00   6.6666670E-02   0.0000000E+00
  30   5.2304614E-01   1.0000000E+00   6.6666670E-02   0.0000000E+00
  31   5.4108220E-01   1.0000000E+00   6.6666670E-02   0.0000000E+00
  32   5.5911827E-01   1.0000000E+00   6.6666670E-02   0.0000000E+00
  33   5.7715434E-01   1.0000000E+00   6.6666670E-02   0.0000000E+00
  34   5.9519041E-01   1.0000000E+00   6.6666670E-02   0.0000000E+00
  35   6.1322647E-01   1.0000000E+00   6.6666670E-02   0.0000000E+00
  36   6.3126254E-01   1.0000000E+00   6.6666670E-02   0.0000000E+00
  37   6.4929861E-01   1.0000000E+00   6.6666670E-02   0.0000000E+00
  38   6.6733468E-01   1.0000000E+00   6.6666670E-02   0.0000000E+00
  39   6.8537080E-01   1.0000000E+00   6.6666670E-02   0.0000000E+00
  40   7.0340687E-01   1.0000000E+00   6.6666670E-02   0.0000000E+00
  41   7.2144294E-01   1.0000000E+00   6.6666670E-02   0.0000000E+00
  42   7.3947901E-01   1.0000000E+00   6.6666670E-02   0.0000000E+00
  43   7.5751507E-01   1.0000000E+00   6.6666670E-02   0.0000000E+00
  44   7.7555114E-01   1.0000000E+00   6.6666670E-02   0.0000000E+00
  45   7.9358721E-01   1.0000000E+00   6.6666670E-02   0.0000000E+00
  46   8.1162328E-01   1.0000000E+00   6.6666670E-02   0.0000000E+00
  47   8.2965934E-01   1.0000000E+00   6.6666670E-02   0.0000000E+00
  48   8.4769541E-01   1.0000000E+00   6.6666670E-02   0.0000000E+00
  49   8.6573148E-01   1.0000000E+00   6.6666670E-02   0.0000000E+00
  50   8.8376760E-01   1.0000000E+00   6.6666670E-02   0.0000000E+00
  51   9.0180367E-01   1.0000000E+00   6.6666670E-02   0.0000000E+00
  52   9.1983974E-01   1.0000000E+00   6.6666670E-02   0.0000000E+00
  53   9.3787581E-01   1.0000000E+00   6.6666670E-02   0.0000000E+00
  54   9.5591187E-01   1.0000000E+00   6.6666670E-02   0.0000000E+00
  55   9.7394794E-01   1.0000000E+00   6.6666670E-02   0.0000000E+00
  56   9.9198401E-01   1.0000000E+00   6.6666670E-02   0.0000000E+00
  57   1.0100201E+00   9.9624711E-01   6.6250205E-02   1.2525247E-03
  58   1.0280561E+00   9.8951578E-01   6.5505832E-02   3.5070332E-03
  59   1.0460923E+00   9.8281473E-01   6.4768150E-02   5.7615419E-03
  60   1.0641283E+00   9.7614408E-01   6.4037144E-02   8.0160508E-03
  61   1.0821644E+00   9.6950376E-01   6.3312761E-02   1.0270559E-02
  62   1.1002004E+00   9.6289343E-01   6.2594928E-02   1.2525068E-02
  63   1.1182365E+00   9.5631337E-01   6.1883636E-02   1.4779576E-02
  64   1.1362725E+00   9.4976336E-01   6.1178822E-02   1.7034085E-02
  65   1.1543087E+00   9.4324315E-01   6.0480431E-02   1.9288594E-02
  66   1.1723448E+00   9.3675303E-01   5.9788451E-02   2.1543102E-02
  67   1.1903808E+00   9.3029261E-01   5.9102800E-02   2.3797611E-02
  68   1.2084169E+00   9.2386210E-01   5.8423471E-02   2.6052119E-02
  69   1.2264529E+00   9.1746128E-01   5.7750404E-02   2.8306628E-02
  70   1.2444891E+00   9.1108996E-01   5.7083536E-02   3.0561136E-02
  71   1.2625251E+00   9.0474832E-01   5.6422859E-02   3.2815646E-02
  72   1.2805612E+00   8.9843607E-01   5.5768300E-02   3.5070155E-02
  73   1.2985972E+00   8.9215338E-01   5.5119842E-02   3.7324663E-02
  74   1.3166333E+00   8.8590008E-01   5.4477435E-02   3.9579172E-02
  75   1.3346694E+00   8.7967587E-01   5.3841013E-02   4.1833680E-02
  76   1.3527055E+00   8.7348104E-01   5.3210571E-02   4.4088189E-02
  77   1.3707416E+00   8.6731523E-01   5.2586030E-02   4.6342719E-02
  78   1.3887776E+00   8.6117864E-01   5.1967386E-02   4.8597205E-02
