# x_cm rho_gcm3 Pgas_ergcm3 Erad_ergcm3
0.000000000000000000e+00 1.000000000000000000e+00 9.742373964875453750e+14 4.326301117187499500e+15
1.251221896383186705e-01 1.000625875565476219e+00 9.747589880802242500e+14 4.324736342409463000e+15
2.502443792766373409e-01 1.001252280824918461e+00 9.752809061602921250e+14 4.323170588169259000e+15
3.753665689149560114e-01 1.001879216468568368e+00 9.758031510042251250e+14 4.321603853637434500e+15
5.004887585532746819e-01 1.002506683188162828e+00 9.763257228889598750e+14 4.320036137983124500e+15
6.256109481915933523e-01 1.003134681676407292e+00 9.768486220914596250e+14 4.318467440375471500e+15
7.507331378299120228e-01 1.003763212627402535e+00 9.773718488890625000e+14 4.316897759982499000e+15
8.758553274682306933e-01 1.004392276736669753e+00 9.778954035594995000e+14 4.315327095971038000e+15
1.000977517106549364e+00 1.005021874701151230e+00 9.784192863808923750e+14 4.313755447506737000e+15
1.126099706744867923e+00 1.005652007219209887e+00 9.789434976317513750e+14 4.312182813754077500e+15
1.251221896383186705e+00 1.006282674990629511e+00 9.794680375909725000e+14 4.310609193876376000e+15
1.376344086021505486e+00 1.006913878716614752e+00 9.799929065378356250e+14 4.309034587035792500e+15
1.501466275659824046e+00 1.007545619099790901e+00 9.805181047520013750e+14 4.307458992393344000e+15
1.626588465298142605e+00 1.008177896844204113e+00 9.810436325135087500e+14 4.305882409108906500e+15
1.751710654936461387e+00 1.008810712655321185e+00 9.815694901027727500e+14 4.304304836341225000e+15
1.876832844574780168e+00 1.009444067240030218e+00 9.820956778005825000e+14 4.302726273247923000e+15
2.001955034213098727e+00 1.010077961306639516e+00 9.826221958880975000e+14 4.301146718985509000e+15
2.127077223851417287e+00 1.010712395564878685e+00 9.831490446468468750e+14 4.299566172709390000e+15
2.252199413489735846e+00 1.011347370725897532e+00 9.836762243587242500e+14 4.297984633573870000e+15
2.377321603128054850e+00 1.011982887502267170e+00 9.842037353059883750e+14 4.296402100732168500e+15
2.502443792766373409e+00 1.012618946607979353e+00 9.847315777712578750e+14 4.294818573336418500e+15
2.627565982404691969e+00 1.013255548758446700e+00 9.852597520375111250e+14 4.293234050537689500e+15
2.752688172043010972e+00 1.013892694670502248e+00 9.857882583880815000e+14 4.291648531485978500e+15
2.877810361681329532e+00 1.014530385062400342e+00 9.863170971066567500e+14 4.290062015330228500e+15
3.002932551319648091e+00 1.015168620653815967e+00 9.868462684772751250e+14 4.288474501218342000e+15
3.128054740957966651e+00 1.015807402165844753e+00 9.873757727843235000e+14 4.286885988297172500e+15
3.253176930596285210e+00 1.016446730478355098e+00 9.879056104411002500e+14 4.285296475289735500e+15
3.378299120234604214e+00 1.017086606764735057e+00 9.884357820997143750e+14 4.283705960133467000e+15
3.503421309872922773e+00 1.017727031750715883e+00 9.889662880455042500e+14 4.282114441971799500e+15
3.628543499511241333e+00 1.018368006133255399e+00 9.894971285394923750e+14 4.280521920028239500e+15
