# x density Mach
0.000000000000000000e+00 1.000000000000000000e+00 1.100000000000000089e+00
9.775171065493646130e-04 9.954743388729404563e-01 1.105000859434912108e+00
1.955034213098729226e-03 9.911839025758242272e-01 1.109783963542377627e+00
2.932551319648093839e-03 9.870993299277408539e-01 1.114376199688560165e+00
3.910068426197458452e-03 9.831968656211881319e-01 1.118799335578653631e+00
4.887585532746823065e-03 9.794569689807364199e-01 1.123071288312651239e+00
5.865102639296187678e-03 9.758633372803463546e-01 1.127207015549546831e+00
6.842619745845552291e-03 9.724022050321121657e-01 1.131219154283668260e+00
7.820136852394916904e-03 9.690618126675369925e-01 1.135118509078414162e+00
8.797653958944280650e-03 9.658320367340887946e-01 1.138914384865088225e+00
9.775171065493646130e-03 9.627040780656979102e-01 1.142614875185905987e+00
1.075268817204301161e-02 9.596702341738270192e-01 1.146227069288005884e+00
1.173020527859237536e-02 9.567237173027274277e-01 1.149757218417464033e+00
1.270772238514173910e-02 9.538585095211449261e-01 1.153210868299765934e+00
1.368523949169110458e-02 9.510692460357839106e-01 1.156592965848685095e+00
1.466275659824047006e-02 9.483511202883634361e-01 1.159907945978410515e+00
1.564027370478983381e-02 9.456998084096873702e-01 1.163159799989584187e+00
1.661779081133919755e-02 9.431113949255328643e-01 1.166352146648440113e+00
1.759530791788856130e-02 9.405823344939491237e-01 1.169488262387811783e+00
1.857282502443792851e-02 9.381093958677062528e-01 1.172571135994808778e+00
1.955034213098729226e-02 9.356896266084062663e-01 1.175603500048589378e+00
2.052785923753665601e-02 9.333203206266126317e-01 1.178587860662330788e+00
2.150537634408602322e-02 9.309989904198968658e-01 1.181526522927678791e+00
2.248289345063538697e-02 9.287233450576358740e-01 1.184421610433120886e+00
2.346041055718475071e-02 9.264912614210706332e-01 1.187275094546276000e+00
2.443792766373411446e-02 9.243007796939883836e-01 1.190088793784401133e+00
2.541544477028347820e-02 9.221500769501460582e-01 1.192864401896557069e+00
2.639296187683284542e-02 9.200374612452294487e-01 1.195603490439616889e+00
2.737047898338220916e-02 9.179613495024510073e-01 1.198307532878390536e+00
2.834799608993157291e-02 9.159202670450453665e-01 1.200977901219322685e+00
2.932551319648094013e-02 9.139128331762401691e-01 1.203615881152502176e+00
3.030303030303030387e-02 9.119377538794132265e-01 1.206222678379707203e+00
3.128054740957966762e-02 9.099938163883347642e-01 1.208799422798034984e+00
3.225806451612903136e-02 9.080798748747315186e-01 1.211347184796649934e+00
3.323558162267839511e-02 9.061948557902521628e-01 1.213866965776073670e+00
3.421309872922775885e-02 9.043377452662921812e-01 1.216359712682448135e+00
3.519061583577712260e-02 9.025075860914477666e-01 1.218826320079863690e+00
3.616813294232649328e-02 9.007034733965820772e-01 1.221267634121432133e+00
3.714565004887585703e-02 8.989245507527114931e-01 1.223684456141417742e+00
3.812316715542522078e-02 8.971700066344803215e-01 1.226077545911714362e+00
3.910068426197458452e-02 8.954390712082432868e-01 1.228447624600227162e+00
4.007820136852394827e-02 8.937310134090984404e-01 1.230795377463849594e+00
4.105571847507331201e-02 8.920451382757472736e-01 1.233121456304568930e+00
4.203323558162267576e-02 8.903807845159399381e-01 1.235426481713686853e+00
4.301075268817204644e-02 8.887373222786072446e-01 1.237711045126070220e+00
4.398826979472141019e-02 8.871141511116431566e-01 1.239975710703734801e+00
4.496578690127077393e-02 8.855106980867947231e-01 1.242221017065772148e+00
4.594330400782013768e-02 8.839264160752577926e-01 1.244447478879673774e+00
4.692082111436950143e-02 8.823607821594472433e-01 1.246655588327388209e+00
4.789833822091886517e-02 8.808132961680389394e-01 1.248845816457958335e+00
4.887585532746822892e-02 8.792834793227991552e-01 1.251018614437281240e+00
4.985337243401759266e-02 8.777708729869571069e-01 1.253174414704399942e+00
5.083088954056695641e-02 8.762750375059722430e-01 1.255313632042728500e+00
5.180840664711632709e-02 8.747955511325022915e-01 1.257436664573739815e+00
5.278592375366569084e-02 8.733320090282217230e-01 1.259543894679868048e+00
5.376344086021505458e-02 8.718840223358911290e-01 1.261635689862691256e+00
5.474095796676441833e-02 8.704512173157314958e-01 1.263712403541858986e+00
5.571847507331378208e-02 8.690332345407478787e-01 1.265774375799689322e+00
5.669599217986314582e-02 8.676297281461595734e-01 1.267821934075886947e+00
5.767350928641250957e-02 8.662403651285667250e-01 1.269855393816402112e+00
5.865102639296188025e-02 8.648648246908822168e-01 1.271875059080081360e+00
5.962854349951124400e-02 8.635027976294353813e-01 1.273881223106419380e+00
6.060606060606060774e-02 8.621539857599819223e-01 1.275874168847411561e+00
6.158357771260997149e-02 8.608181013796434300e-01 1.277854169466251966e+00
6.256109481915933523e-02 8.594948667620702087e-01 1.279821488805363394e+00
6.353861192570869898e-02 8.581840136833600585e-01 1.281776381826033040e+00
6.451612903225806273e-02 8.568852829764703749e-01 1.283719095021737644e+00
6.549364613880742647e-02 8.555984241120667688e-01 1.285649866807049513e+00
6.647116324535679022e-02 8.543231948039142765e-01 1.287568927883871783e+00
6.744868035190615396e-02 8.530593606370837634e-01 1.289476501586590107e+00
6.842619745845551771e-02 8.518066947173786874e-01 1.291372804207613800e+00
6.940371456500488145e-02 8.505649773405277170e-01 1.293258045304644499e+00
7.038123167155424520e-02 8.493339956797963941e-01 1.295132427990915103e+00
7.135874877810362282e-02 8.481135434907828285e-01 1.296996149209536542e+00
7.233626588465298657e-02 8.469034208322576696e-01 1.298849399993003528e+00
7.331378299120235031e-02 8.457034338019955300e-01 1.300692365708831844e+00
7.429130009775171406e-02 8.445133942866301924e-01 1.302525226292215565e+00
7.526881720430107781e-02 8.433331197246305422e-01 1.304348156466542896e+00
7.624633431085044155e-02 8.421624328815721094e-01 1.306161325952526875e+00
7.722385141739980530e-02 8.410011616369321708e-01 1.307964899666666625e+00
7.820136852394916904e-02 8.398491387816946485e-01 1.309759037909697055e+00
7.917888563049853279e-02 8.387062018261054464e-01 1.311543896545634968e+00
8.015640273704789653e-02 8.375721928169632680e-01 1.313319627171989801e+00
8.113391984359726028e-02 8.364469581638735995e-01 1.315086377281668772e+00
8.211143695014662403e-02 8.353303484739378337e-01 1.316844290417062302e+00
8.308895405669598777e-02 8.342222183943801550e-01 1.318593506316770192e+00
8.406647116324535152e-02 8.331224264626545528e-01 1.320334161055390254e+00
8.504398826979471526e-02 8.320308349636005296e-01 1.322066387176771718e+00
8.602150537634409289e-02 8.309473097932496000e-01 1.323790313821094466e+00
8.699902248289345663e-02 8.298717203289068811e-01 1.325506066846128927e+00
8.797653958944282038e-02 8.288039393051579440e-01 1.327213768942995253e+00
8.895405669599218412e-02 8.277438426954769612e-01 1.328913539746721995e+00
8.993157380254154787e-02 8.266913095991291760e-01 1.330605495941890259e+00
9.090909090909091161e-02 8.256462221330812534e-01 1.332289751363626262e+00
9.188660801564027536e-02 8.246084653286508415e-01 1.333966417094191392e+00
9.286412512218963911e-02 8.235779270326482049e-01 1.335635601555399621e+00
9.384164222873900285e-02 8.225544978127691254e-01 1.337297410597082958e+00
9.481915933528836660e-02 8.215380708670204646e-01 1.338951947581809909e+00
9.579667644183773034e-02 8.205285419369725552e-01 1.340599313466044773e+00
9.677419354838709409e-02 8.195258092246368031e-01 1.342239606877937419e+00
9.775171065493645783e-02 8.185297733127950837e-01 1.343872924191901408e+00
9.872922776148582158e-02 8.175403370885968579e-01 1.345499359600152767e+00
9.970674486803518533e-02 8.165574056702710193e-01 1.347119005181350637e+00
1.006842619745845491e-01 8.155808863367932648e-01 1.348731950966487236e+00
1.016617790811339128e-01 8.146106884603675491e-01 1.350338285002158134e+00
1.026392961876832904e-01 8.136467234415842853e-01 1.351938093411340969e+00
1.036168132942326542e-01 8.126889046471286182e-01 1.353531460451798063e+00
1.045943304007820179e-01 8.117371473499152001e-01 1.355118468572220625e+00
1.055718475073313817e-01 8.107913686715362278e-01 1.356699198466216894e+00
1.065493646138807454e-01 8.098514875269167135e-01 1.358273729124242379e+00
1.075268817204301092e-01 8.089174245710697431e-01 1.359842137883576330e+00
1.085043988269794729e-01 8.079891021478611268e-01 1.361404500476420143e+00
1.094819159335288367e-01 8.070664442406860761e-01 1.362960891076217651e+00
1.104594330400782004e-01 8.061493764249776373e-01 1.364511382342263657e+00
1.114369501466275642e-01 8.052378258224582863e-01 1.366056045462687996e+00
1.124144672531769279e-01 8.043317210570617437e-01 1.367594950195881509e+00
1.133919843597262916e-01 8.034309922124504011e-01 1.369128164910432321e+00
1.143695014662756554e-01 8.025355707910568626e-01 1.370655756623639032e+00
1.153470185728250191e-01 8.016453896745848740e-01 1.372177791038662997e+00
1.163245356793743829e-01 8.007603830859063576e-01 1.373694332580375654e+00
1.173020527859237605e-01 7.998804865522955998e-01 1.375205444429957291e+00
1.182795698924731242e-01 7.990056368699415268e-01 1.376711188558301879e+00
