x,Eint
-1.53677343750000000e+18,2.50500162581602115e-09
-1.52472031250000000e+18,2.50500174017885778e-09
-1.51266718750000000e+18,2.50500197599706587e-09
-1.50061406250000000e+18,2.50500234760460474e-09
-1.48856093750000000e+18,2.50500287754410897e-09
-1.47650781250000000e+18,2.50500359764046342e-09
-1.46445468750000000e+18,2.50500455064733804e-09
-1.45240156250000000e+18,2.50500579241603025e-09
-1.44034843750000000e+18,2.50500739470064778e-09
-1.42829531250000000e+18,2.50500944873702553e-09
-1.41624218750000000e+18,2.50501206979749929e-09
-1.40418906250000000e+18,2.50501540303849731e-09
-1.39213593750000000e+18,2.50501963119476055e-09
-1.38008281250000000e+18,2.50502498517689576e-09
-1.36802968750000000e+18,2.50503175970794731e-09
-1.35597656250000000e+18,2.50504033851404461e-09
-1.34392343750000000e+18,2.50505123875271492e-09
-1.33187031250000000e+18,2.50506519556557535e-09
-1.31981718750000000e+18,2.50508333160518073e-09
-1.30776406250000000e+18,2.50510750707290076e-09
-1.29571093750000000e+18,2.50514105155394379e-09
-1.28365781250000000e+18,2.50519029646272445e-09
-1.27160468750000000e+18,2.50526776768752537e-09
-1.25955156250000000e+18,2.50539877690713777e-09
-1.24749843750000000e+18,2.50563487155478496e-09
-1.23544531250000000e+18,2.50608090528461330e-09
-1.22339218750000000e+18,2.50694865224541475e-09
-1.21133906250000000e+18,2.50866091909502498e-09
-1.19928593750000000e+18,2.51204844483922072e-09
-1.18723281250000000e+18,2.51870773775464236e-09
-1.17517968750000000e+18,2.53160851498327090e-09
-1.16312656250000000e+18,2.55599577626024995e-09
-1.15107343750000000e+18,2.60035600773188577e-09
-1.13902031250000000e+18,2.67646240172711716e-09
-1.12696718750000000e+18,2.79662992514908490e-09
-1.11491406250000000e+18,2.96761428683595034e-09
-1.10286093750000000e+18,3.18559358073553663e-09
-1.09080781250000000e+18,3.43798322334746844e-09
-1.07875468750000000e+18,3.70997470379150146e-09
-1.06670156250000000e+18,3.98939422517324111e-09
-1.05464843750000000e+18,4.26799352077782505e-09
-1.04259531250000000e+18,4.54082195496508405e-09
-1.03054218750000000e+18,4.80519439397489561e-09
-1.01848906250000000e+18,5.05984091950664109e-09
-1.00643593750000000e+18,5.30432965887187842e-09
-9.94382812500000000e+17,5.53870552346958271e-09
-9.82329687500000000e+17,5.76327257421156420e-09
-9.70276562500000000e+17,5.97846556358461531e-09
-9.58223437500000000e+17,6.18477522860015674e-09
-9.46170312500000000e+17,6.38270558306639817e-09
-9.34117187500000000e+17,6.57275016380022238e-09
-9.22064062500000000e+17,6.75537946824505424e-09
-9.10010937500000000e+17,6.93103496733091090e-09
-8.97957812500000000e+17,7.10012694221238138e-09
-8.85904687500000000e+17,7.26303450078229250e-09
-8.73851562500000000e+17,7.42010679054405396e-09
-8.61798437500000000e+17,7.57166482096127182e-09
-8.49745312500000000e+17,7.71800354771014105e-09
-8.37692187500000000e+17,7.85939401626271590e-09
-8.25639062500000000e+17,7.99608545025981168e-09
-8.13585937500000000e+17,8.12830722347588247e-09
-8.01532812500000000e+17,8.25627068630651949e-09
-7.89479687500000000e+17,8.38017083679455812e-09
-7.77426562500000000e+17,8.50018783726920350e-09
-7.65373437500000000e+17,8.61648838379878365e-09
-7.53320312500000000e+17,8.72922693876954451e-09
-7.41267187500000000e+17,8.83854683819558101e-09
-7.29214062500000000e+17,8.94458128564891490e-09
-7.17160937500000000e+17,9.04745424362000715e-09
-7.05107812500000000e+17,9.14728123503820385e-09
-6.93054687500000000e+17,9.24417006078030780e-09
-6.81001562500000000e+17,9.33822144721033761e-09
-6.68948437500000000e+17,9.42952962696519098e-09
-6.56895312500000000e+17,9.51818286330949238e-09
-6.44842187500000000e+17,9.60426392285883605e-09
-6.32789062500000000e+17,9.68785050272785053e-09
-6.20735937500000000e+17,9.76901561699488362e-09
-6.08682812500000000e+17,9.84782794686648150e-09
-5.96629687500000000e+17,9.92435215841238942e-09
