  120  1.0000E+00
    i  x                       den                     ener                    pres                    vel                     cs
    1  0.0000000000000000E+00  1.2791113119264251E-23  8.2167500081688187E+21  4.2040551530881128E-02  2.3041884950374457E-04  6.7833472597048564E+10
    2  1.0084033613445378E-02  1.9848380681464230E-15  6.1375804315333990E+13  4.8728413147272165E-02  2.8811524609828072E-03  5.8626316971635729E+06
    3  2.0168067226890756E-02  3.5929406913263080E-13  3.3905662056228117E+11  4.8728413147272168E-02  5.7623049219687876E-03  4.3574270793081260E+05
    4  3.0252100840336134E-02  7.5185569085245513E-12  1.6202714743045957E+10  4.8728413147272313E-02  8.6434573829531870E-03  9.5255027458427285E+04
    5  4.0336134453781513E-02  6.5039173817294073E-11  1.8730409031701690E+09  4.8728413147274438E-02  1.1524609843937692E-02  3.2386770536367077E+04
    6  5.0420168067226891E-02  3.4673694099414556E-10  3.5133560479292752E+08  4.8728413147291101E-02  1.4405762304923184E-02  1.4026686660934556E+04
    7  6.0504201680672269E-02  1.3610041791406085E-09  8.9508198972152000E+07  4.8728413147379196E-02  1.7286914765914607E-02  7.0798722745827216E+03
    8  7.0588235294117647E-02  4.3247437627295259E-09  2.8168381655159931E+07  4.8728413147735084E-02  2.0168067226932360E-02  3.9716865091406146E+03
    9  8.0672268907563025E-02  1.1773348057792550E-08  1.0347186906757966E+07  4.8728413148918161E-02  2.3049219688044213E-02  2.4071611221072139E+03
   10  9.0756302521008403E-02  2.8480256853376445E-08  4.2773853307554186E+06  4.8728413152311553E-02  2.5930372149441848E-02  1.5476872375331634E+03
   11  1.0084033613445378E-01  6.2766090839955265E-08  1.9408733485264337E+06  4.8728413160983318E-02  2.8811524611604306E-02  1.0425397235476464E+03
   12  1.1092436974789916E-01  1.2828332853068846E-07  9.4962482146546684E+05  4.8728413181180345E-02  3.1692677075617131E-02  7.2923926116238519E+02
   13  1.2100840336134454E-01  2.4636807322633764E-07  4.9446761289564963E+05  4.8728413224771112E-02  3.4573829543752787E-02  5.2621465508057051E+02
   14  1.3109243697478992E-01  4.4905571187334525E-07  2.7128267175230400E+05  4.8728413313053569E-02  3.7454982020467089E-02  3.8976697677110902E+02
   15  1.4117647058823529E-01  7.8286225037508480E-07  1.5560979424897177E+05  4.8728413482461588E-02  4.0336134514030237E-02  2.9519736580705491E+02
   16  1.5126050420168067E-01  1.3134378589616991E-06  9.2749751083312466E+04  4.8728413792838583E-02  4.3217287039091833E-02  2.2790318252857940E+02
   17  1.6134453781512605E-01  2.1312037072178369E-06  5.7160671894092313E+04  4.8728414339100781E-02  4.6098439620579550E-02  1.7891332052335202E+02
   18  1.7142857142857143E-01  3.3580875361332876E-06  3.6276909656884001E+04  4.8728415267286186E-02  4.8979592299453509E-02  1.4253094193141025E+02
   19  1.8151260504201681E-01  5.1554776248416177E-06  2.3629438600112301E+04  4.8728416796179122E-02  5.1860745140985474E-02  1.1503254155265321E+02
   20  1.9159663865546218E-01  7.7335188805641508E-06  1.5752343790217969E+04  4.8728419245915249E-02  5.4741898246406678E-02  9.3921842627378552E+01
   21  2.0168067226890756E-01  1.1361878728057887E-05  1.0721911455293719E+04  4.8728423075208754E-02  5.7623051768973176E-02  7.7487227431135272E+01
   22  2.1176470588235294E-01  1.6382114315343446E-05  7.4362240415243367E+03  4.8728428929102772E-02  6.0504205935736144E-02  6.4531275078473605E+01
   23  2.2184873949579832E-01  2.3221776301885832E-05  5.2459851763654092E+03  4.8728437699426652E-02  6.3385361076579618E-02  5.4201030421613104E+01
   24  2.3193277310924370E-01  3.2410388171587436E-05  3.7587061856889419E+03  4.8728450600450165E-02  6.6266517662402872E-02  4.5878921783165387E+01
   25  2.4201680672268908E-01  4.4597443636854033E-05  2.7315730055818693E+03  4.8728469262555753E-02  6.9147676354682334E-02  3.9111135027327535E+01
   26  2.5210084033613445E-01  6.0572568297300735E-05  2.0111618681883463E+03  4.8728495847106219E-02  7.2028838069051869E-02  3.3559658016515513E+01
   27  2.6218487394957983E-01  8.1287995319943141E-05  1.4986386671942084E+03  4.8728533186067455E-02  7.4910004055993962E-02  2.8969598782667955E+01
