  species    A      yield       mass(i)_lost    mass(i)_0        <X(i)>          X0(i)   log10(<X(i)>/X0(i)) 
      n      1   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
      p      1  -5.4671645E-02  1.1083997E+00  1.1630714E+00  6.9842452E-01  7.3292029E-01 -2.0937273E-02
      d      2   1.0005749E-17  1.0005749E-17  0.0000000E+00  6.3048194E-18  0.0000000E+00  0.0000000E+00
    he3      3   2.5515736E-04  2.5515736E-04  0.0000000E+00  1.6077969E-04  0.0000000E+00  0.0000000E+00
    he4      4   4.1566312E-02  4.5411551E-01  4.1254920E-01  2.8614715E-01  2.5997174E-01  4.1663285E-02
    li7      7  -4.8780873E-09  2.3415234E-09  7.2196107E-09  1.4754401E-09  4.5495052E-09 -4.8904258E-01
    be7      7   8.2256238E-18  8.2256238E-18  0.0000000E+00  5.1831278E-18  0.0000000E+00  0.0000000E+00
     b8      8   2.1930856E-28  2.1930856E-28  0.0000000E+00  1.3819065E-28  0.0000000E+00  0.0000000E+00
    c12     12   9.8524187E-03  1.1840176E-02  1.9877574E-03  7.4607283E-03  1.2526038E-03  7.7496749E-01
    c13     13   3.0732001E-05  5.4819717E-05  2.4087716E-05  3.4542983E-05  1.5179100E-05  3.5711384E-01
    c14     14   4.4889186E-09  4.4889186E-09  0.0000000E+00  2.8285561E-09  0.0000000E+00  0.0000000E+00
    n13     13   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    n14     14   8.4125547E-04  1.4289541E-03  5.8769860E-04  9.0041215E-04  3.7034374E-04  3.8583633E-01
    n15     15  -6.5655888E-07  7.9101289E-07  1.4475718E-06  4.9843283E-07  9.1220090E-07 -2.6248387E-01
    o14     14   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o15     15   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o16     16   3.0268962E-04  5.1026046E-03  4.7999150E-03  3.2152517E-03  3.0247113E-03  2.6531059E-02
    o17     17   2.4709432E-05  2.6647002E-05  1.9375691E-06  1.6790802E-05  1.2209773E-06  1.1383638E+00
    o18     18  -3.3860033E-06  7.4138043E-06  1.0799808E-05  4.6715841E-06  6.8055997E-06 -1.6340226E-01
    o19     19   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f17     17   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f18     18   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f19     19   1.8770969E-06  2.1881019E-06  3.1100501E-07  1.3787661E-06  1.9598269E-07  8.4727287E-01
    f20     20   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ne19     19   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
