  species    A      yield       mass(i)_lost    mass(i)_0        <X(i)>          X0(i)   log10(<X(i)>/X0(i)) 
      n      1   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
      p      1  -8.9033604E-02  2.2202516E+00  2.3092852E+00  7.0461810E-01  7.3292029E-01 -1.7102951E-02
      d      2   1.8931418E-17  1.8931418E-17  0.0000000E+00  6.0080667E-18  0.0000000E+00  0.0000000E+00
    he3      3   1.8609766E-04  1.8609766E-04  0.0000000E+00  5.9059872E-05  0.0000000E+00  0.0000000E+00
    he4      4   6.8025112E-02  8.8714409E-01  8.1911898E-01  2.8154367E-01  2.5997174E-01  3.4619641E-02
    li7      7   7.7185824E-08  9.1520405E-08  1.4334581E-08  2.9044877E-08  4.5495052E-09  8.0510533E-01
    be7      7   6.4878886E-13  6.4878886E-13  0.0000000E+00  2.0589934E-13  0.0000000E+00  0.0000000E+00
     b8      8   1.2514241E-24  1.2514241E-24  0.0000000E+00  3.9715141E-25  0.0000000E+00  0.0000000E+00
    c12     12   1.6894404E-02  2.0841109E-02  3.9467039E-03  6.6141253E-03  1.2526038E-03  7.2265869E-01
    c13     13   8.2955131E-04  8.7737764E-04  4.7826306E-05  2.7844417E-04  1.5179100E-05  1.2634921E+00
    c14     14   3.7153779E-08  3.7153779E-08  0.0000000E+00  1.1791107E-08  0.0000000E+00  0.0000000E+00
    n13     13   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    n14     14   2.2301609E-03  3.3970398E-03  1.1668791E-03  1.0780831E-03  3.7034374E-04  4.6404722E-01
    n15     15  -2.7554447E-06  1.1871786E-07  2.8741626E-06  3.7676251E-08  9.1220090E-07 -1.3840228E+00
    o14     14   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o15     15   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o16     16  -2.4064071E-04  9.2896195E-03  9.5302602E-03  2.9481496E-03  3.0247113E-03 -1.1134410E-02
    o17     17   3.1328404E-05  3.5175461E-05  3.8470553E-06  1.1163269E-05  1.2209773E-06  9.6108383E-01
    o18     18  -1.2914641E-05  8.5284428E-06  2.1443084E-05  2.7065828E-06  6.8055997E-06 -4.0044507E-01
