  species    A      yield       mass(i)_lost    mass(i)_0        <X(i)>          X0(i)   log10(<X(i)>/X0(i)) 
      n      1   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
      p      1  -4.6130490E-01  3.2353253E+00  3.6966302E+00  6.4142054E-01  7.3292029E-01 -5.7913881E-02
      d      2   2.3568305E-17  2.3568305E-17  0.0000000E+00  4.6725423E-18  0.0000000E+00  0.0000000E+00
    he3      3   2.4619233E-08  2.4619233E-08  0.0000000E+00  4.8808944E-09  0.0000000E+00  0.0000000E+00
    he4      4   4.3185902E-01  1.7430785E+00  1.3112195E+00  3.4557462E-01  2.5997174E-01  1.2361570E-01
    li7      7  -2.2905505E-08  4.0835935E-11  2.2946342E-08  8.0959423E-12  4.5495052E-09 -2.7496967E+00
    be7      7   6.0646122E-13  6.0646122E-13  0.0000000E+00  1.2023419E-13  0.0000000E+00  0.0000000E+00
     b8      8   5.2462667E-27  5.2462667E-27  0.0000000E+00  1.0401004E-27  0.0000000E+00  0.0000000E+00
    c12     12  -2.7873288E-03  3.5304292E-03  6.3177580E-03  6.9992646E-04  1.2526038E-03 -2.5276130E-01
    c13     13   5.0530769E-04  5.8186654E-04  7.6558827E-05  1.1535815E-04  1.5179100E-05  8.8080227E-01
    c14     14   6.7795654E-09  6.7795654E-09  0.0000000E+00  1.3440851E-09  0.0000000E+00  0.0000000E+00
    n13     13   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    n14     14   3.8247980E-02  4.0115882E-02  1.8679029E-03  7.9531884E-03  3.7034374E-04  1.3319362E+00
    n15     15  -3.5412343E-06  1.0596339E-06  4.6008681E-06  2.1007808E-07  9.1220090E-07 -6.3770974E-01
    o14     14   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o15     15   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o16     16  -7.6801321E-03  7.5756051E-03  1.5255737E-02  1.5019042E-03  3.0247113E-03 -3.0404168E-01
    o17     17   2.0798219E-05  2.6956463E-05  6.1582432E-06  5.3442627E-06  1.2209773E-06  6.4118022E-01
    o18     18  -3.4319120E-05  6.2846657E-09  3.4325407E-05  1.2459686E-09  6.8055997E-06 -3.7373593E+00
    o19     19   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f17     17   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f18     18   4.1239233E-40  4.1239233E-40  0.0000000E+00  8.1758759E-41  0.0000000E+00  0.0000000E+00
    f19     19  -7.2160037E-07  2.6687761E-07  9.8847795E-07  5.2909911E-08  1.9598269E-07 -5.6868076E-01
    f20     20   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ne19     19   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ne20     20   1.6621314E-05  3.1460482E-03  3.1294269E-03  6.2372087E-04  6.2046252E-04  2.2747414E-03
   ne21     21  -7.4522327E-06  4.2453979E-07  7.8767725E-06  8.4167283E-08  1.5617053E-06 -1.2684557E+00
   ne22     22   8.7223004E-04  1.1253499E-03  2.5311983E-04  2.2310663E-04  5.0185346E-05  6.4793557E-01
   ne23     23   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   na21     21   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   na22     22   2.7679656E-10  2.7679656E-10  0.0000000E+00  5.4876399E-11  0.0000000E+00  0.0000000E+00
   na23     23   2.2375280E-05  1.0709040E-04  8.4715117E-05  2.1231244E-05  1.6796224E-05  1.0176376E-01
   na24     24  -1.3808118E-36 -1.3808118E-36  0.0000000E+00 -2.7375332E-37  0.0000000E+00  0.0000000E+00
   mg23     23   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   mg24     24  -7.5692998E-04  7.3586323E-04  1.4927932E-03  1.4588881E-04  2.9597184E-04 -3.0722842E-01
   mg25     25   8.2115969E-04  1.0180192E-03  1.9685944E-04  2.0182774E-04  3.9030758E-05  7.1357387E-01
   mg26     26   1.1527110E-04  3.4068286E-04  2.2541176E-04  6.7542198E-05  4.4691740E-05  1.7934793E-01
   mg27     27   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   al25     25   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   al-6     26   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   al*6     26   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   al27     27   6.3276209E-05  2.0701889E-04  1.4374268E-04  4.1042604E-05  2.8499451E-05  1.5839843E-01
   al28     28   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   si27     27   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   si28     28   3.6316691E-05  1.6892299E-03  1.6529132E-03  3.3489885E-04  3.2771836E-04  9.4128828E-03
   si29     29   5.9978047E-06  9.2929644E-05  8.6931839E-05  1.8423800E-05  1.7235727E-05  2.8949618E-02
   si30     30   8.4908752E-06  6.7771107E-05  5.9280232E-05  1.3435984E-05  1.1753322E-05  5.8108874E-02
    p31     31   1.4799989E-06  1.7983792E-05  1.6503793E-05  3.5653829E-06  3.2721596E-06  3.7271693E-02
    p32     32   5.6610353E-26  5.6610353E-26  0.0000000E+00  1.1223305E-26  0.0000000E+00  0.0000000E+00
    p33     33   6.9389245E-27  6.9389245E-27  0.0000000E+00  1.3756789E-27  0.0000000E+00  0.0000000E+00
    s32     32  -5.2255928E-06  7.8686397E-04  7.9208956E-04  1.5599999E-04  1.5704533E-04 -2.9004538E-03
    s33     33   1.4425359E-07  6.6838020E-06  6.5395484E-06  1.3250994E-06  1.2965775E-06  9.4500156E-03
    s34     34   1.3397585E-06  3.9372033E-05  3.8032274E-05  7.8057165E-06  7.5405505E-06  1.5009711E-02
    s35     35   7.6488215E-20  7.6488215E-20  0.0000000E+00  1.5164198E-20  0.0000000E+00  0.0000000E+00
    s36     36   1.4440440E-07  3.3213976E-07  1.8773537E-07  6.5848482E-08  3.7221753E-08  2.4774897E-01
   cl35     35  -4.7453796E-08  8.0779337E-06  8.1253875E-06  1.6014935E-06  1.6109974E-06 -2.5696510E-03
   cl36     36   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   cl37     37   5.6981162E-07  3.3151146E-06  2.7453029E-06  6.5723918E-07  5.4430336E-07  8.1882417E-02
   ar36     36  -1.7949351E-06  1.4951173E-04  1.5130667E-04  2.9641500E-05  2.9999139E-05 -5.2086143E-03
   ar37     37   3.8615100E-22  3.8615100E-22  0.0000000E+00  7.6556502E-23  0.0000000E+00  0.0000000E+00
   ar38     38   7.4842683E-07  2.9787603E-05  2.9039176E-05  5.9055515E-06  5.7575144E-06  1.1025443E-02
   ar39     39   8.3655083E-10  8.3655083E-10  0.0000000E+00  1.6585068E-10  0.0000000E+00  0.0000000E+00
   ar40     40   1.3357540E-07  1.8246472E-07  4.8889323E-08  3.6174605E-08  9.6931458E-09  5.7193905E-01
    k39     39   1.2958208E-07  8.0070286E-06  7.8774465E-06  1.5874363E-06  1.5618388E-06  7.0601143E-03
    k40     40  -1.2752090E-09  0.0000000E+00  1.2752090E-09  0.0000000E+00  2.5283206E-10  0.0000000E+00
    k41     41   6.1034257E-08  6.5866971E-07  5.9763545E-07  1.3058479E-07  1.1849146E-07  4.2205554E-02
   ca40     40  -1.2318778E-06  1.3515512E-04  1.3638700E-04  2.6795225E-05  2.7041060E-05 -3.9662882E-03
   ca41     41   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ca42     42   5.6333761E-08  1.0121478E-06  9.5581402E-07  2.0066371E-07  1.8950651E-07  2.4844682E-02
   ca43     43   1.6543424E-08  2.2072376E-07  2.0418034E-07  4.3759666E-08  4.0482252E-08  3.3809349E-02
   ca44     44   2.3744860E-08  3.2521489E-06  3.2284040E-06  6.4475591E-07  6.4008640E-07  3.1567351E-03
   ca45     45  -4.4387471E-18 -4.4387471E-18  0.0000000E+00 -8.8000540E-19  0.0000000E+00  0.0000000E+00
   ca46     46   3.6293319E-08  4.2765350E-08  6.4720331E-09  8.4784597E-09  1.2831914E-09  8.2002550E-01
   ca47     47   5.5634199E-30  5.5634199E-30  0.0000000E+00  1.1029777E-30  0.0000000E+00  0.0000000E+00
   ca48     48   1.0822987E-10  3.1582971E-07  3.1572148E-07  6.2614930E-08  6.2597195E-08  1.2304446E-04
   sc45     45   2.1761196E-08  1.1284317E-07  9.1081972E-08  2.2371761E-08  1.8058563E-08  9.3017012E-02
   sc46     46   5.2005951E-24  5.2005951E-24  0.0000000E+00  1.0310457E-24  0.0000000E+00  0.0000000E+00
   sc47     47   1.1766244E-29  1.1766244E-29  0.0000000E+00  2.3327208E-30  0.0000000E+00  0.0000000E+00
