  species    A      yield       mass(i)_lost    mass(i)_0        <X(i)>          X0(i)   log10(<X(i)>/X0(i)) 
      n      1   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
      p      1  -1.5088201E-02  5.9822184E-01  6.1331004E-01  6.8840253E-01  7.0584649E-01 -1.0867794E-02
      d      2   3.7680281E-18  3.7680281E-18  0.0000000E+00  4.3360506E-18  0.0000000E+00  0.0000000E+00
    he3      3   2.8203541E-04  2.8203541E-04  0.0000000E+00  3.2455169E-04  0.0000000E+00  0.0000000E+00
    he4      4   1.4693275E-02  2.5793239E-01  2.4323912E-01  2.9681519E-01  2.7993914E-01  2.5422508E-02
    li7      7  -4.9585336E-09  2.9467384E-09  7.9052720E-09  3.3909533E-09  9.0980219E-09 -4.2862517E-01
    be7      7   9.7002540E-19  9.7002540E-19  0.0000000E+00  1.1162548E-18  0.0000000E+00  0.0000000E+00
     b8      8   1.8398328E-28  1.8398328E-28  0.0000000E+00  2.1171839E-28  0.0000000E+00  0.0000000E+00
    c12     12  -6.8282569E-04  1.4937127E-03  2.1765383E-03  1.7188868E-03  2.5049355E-03 -1.6354927E-01
    c13     13   4.5966975E-05  7.2342351E-05  2.6375374E-05  8.3247811E-05  3.0354900E-05  4.3814400E-01
    c14     14   2.2960850E-27  2.2960850E-27  0.0000000E+00  2.6422151E-27  0.0000000E+00  0.0000000E+00
    n13     13   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    n14     14   7.5068651E-04  1.3941999E-03  6.4351340E-04  1.6043728E-03  7.4060698E-04  3.3571747E-01
    n15     15  -6.8495063E-07  9.0009979E-07  1.5850504E-06  1.0357880E-06  1.8242035E-06 -2.4580239E-01
    o14     14   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o15     15   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o16     16  -4.9099326E-06  5.2508619E-03  5.2557718E-03  6.0424185E-03  6.0487650E-03 -4.5590990E-04
    o17     17   4.2419215E-06  6.3635048E-06  2.1215835E-06  7.3227902E-06  2.4416890E-06  4.7698623E-01
    o18     18  -2.6927837E-06  9.1327038E-06  1.1825487E-05  1.0509440E-05  1.3609721E-05 -1.1226965E-01
    o19     19   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f17     17   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f18     18   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f19     19   7.1449335E-10  3.4125623E-07  3.4054173E-07  3.9269992E-07  3.9192281E-07  8.6027000E-04
    f20     20   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ne19     19   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ne20     20  -8.4983185E-09  1.0781141E-03  1.0781226E-03  1.2406376E-03  1.2407904E-03 -5.3457818E-05
   ne21     21   1.9645086E-10  2.7138331E-06  2.7136366E-06  3.1229379E-06  3.1230711E-06 -1.8534749E-05
   ne22     22  -1.6798294E-06  8.5522777E-05  8.7202607E-05  9.8415163E-05  1.0035978E-04 -8.4976843E-03
   ne23     23   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   na21     21   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   na22     22   4.0939733E-35  4.0939733E-35  0.0000000E+00  4.7111314E-35  0.0000000E+00  0.0000000E+00
   na23     23   1.7580624E-06  3.0943367E-05  2.9185305E-05  3.5608016E-05  3.3588796E-05  2.5353363E-02
   na24     24   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   mg23     23   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   mg24     24  -1.9208528E-09  5.1428203E-04  5.1428395E-04  5.9180899E-04  5.9187930E-04 -5.1593801E-05
   mg25     25  -3.8198777E-09  6.7816458E-05  6.7820278E-05  7.8039651E-05  7.8053032E-05 -7.4454430E-05
   mg26     26   4.5765773E-09  7.7661447E-05  7.7656870E-05  8.9368754E-05  8.9373774E-05 -2.4385266E-05
   mg27     27   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   al25     25   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   al-6     26   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   al*6     26   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   al27     27   8.8766683E-10  4.9521852E-05  4.9520964E-05  5.6987170E-05  5.6992707E-05 -4.2196181E-05
   al28     28   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   si27     27   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   si28     28  -3.4342520E-09  5.6944368E-04  5.6944712E-04  6.5528613E-04  6.5536553E-04 -5.2629362E-05
   si29     29  -1.7280399E-10  2.9948815E-05  2.9948988E-05  3.4463537E-05  3.4467706E-05 -5.2525807E-05
   si30     30  -1.2369128E-10  2.0422580E-05  2.0422704E-05  2.3501243E-05  2.3504090E-05 -5.2603475E-05
    p31     31  -3.7744030E-11  5.6857029E-06  5.6857407E-06  6.5428112E-06  6.5436075E-06 -5.2862364E-05
