  species    A      yield       mass(i)_lost    mass(i)_0        <X(i)>           X0(i)   log10(<X(i)>/X0(i)) 
      n      1   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
      p      1  -1.4042497E-01  2.4273036E+00  2.5677285E+00  6.6720819E-01  7.0584649E-01 -2.4448890E-02
      d      2   1.8455741E-17  1.8455741E-17  0.0000000E+00  5.0730458E-18  0.0000000E+00  0.0000000E+00
    he3      3   4.2618627E-05  4.2618627E-05  0.0000000E+00  1.1714850E-05  0.0000000E+00  0.0000000E+00
    he4      4   1.1414874E-01  1.1325114E+00  1.0183626E+00  3.1130055E-01  2.7993914E-01  4.6116237E-02
    li7      7  -7.4310691E-10  3.2353682E-08  3.3096789E-08  8.8932604E-09  9.0980219E-09 -9.8860050E-03
    be7      7   5.2549458E-12  5.2549458E-12  0.0000000E+00  1.4444600E-12  0.0000000E+00  0.0000000E+00
     b8      8   6.1963095E-24  6.1963095E-24  0.0000000E+00  1.7032185E-24  0.0000000E+00  0.0000000E+00
    c12     12   2.8949939E-03  1.2007449E-02  9.1124550E-03  3.3005630E-03  2.5049355E-03  1.1979149E-01
    c13     13   2.7834396E-03  2.8938646E-03  1.1042506E-04  7.9545478E-04  3.0354900E-05  1.4183867E+00
    c14     14   2.2803656E-08  2.2803656E-08  0.0000000E+00  6.2681846E-09  0.0000000E+00  0.0000000E+00
    n13     13   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    n14     14   2.0235362E-02  2.2929542E-02  2.6941802E-03  6.3027875E-03  7.4060698E-04  9.2994493E-01
    n15     15  -6.2293166E-06  4.0677114E-07  6.6360876E-06  1.1181174E-07  1.8242035E-06 -1.2125859E+00
    o14     14   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o15     15   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o16     16  -1.5161708E-03  2.0488027E-02  2.2004198E-02  5.6316731E-03  6.0487650E-03 -3.1029277E-02
    o17     17   2.4037432E-05  3.2919808E-05  8.8823772E-06  9.0488747E-06  2.4416890E-06  5.6890422E-01
    o18     18  -4.9333590E-05  1.7585685E-07  4.9509446E-05  4.8338880E-08  1.3609721E-05 -2.4495528E+00
    o19     19   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f17     17   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f18     18   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f19     19   2.9397777E-06  4.3655145E-06  1.4257369E-06  1.1999765E-06  3.9192281E-07  4.8597223E-01
    f20     20   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ne19     19   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ne20     20  -2.9392540E-06  4.5108078E-03  4.5137471E-03  1.2399141E-03  1.2407904E-03 -3.0680530E-04
   ne21     21   1.0294689E-06  1.2390578E-05  1.1361110E-05  3.4058762E-06  3.1230711E-06  3.7646987E-02
   ne22     22   1.5669951E-03  1.9320839E-03  3.6508881E-04  5.3108408E-04  1.0035978E-04  7.2360361E-01
   ne23     23   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   na21     21   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   na22     22   2.3262834E-11  2.3262834E-11  0.0000000E+00  6.3944019E-12  0.0000000E+00  0.0000000E+00
   na23     23   5.7710946E-05  1.7990028E-04  1.2218933E-04  4.9450322E-05  3.3588796E-05  1.6797468E-01
   na24     24   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   mg23     23   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   mg24     24  -5.2602729E-05  2.1005359E-03  2.1531386E-03  5.7738752E-04  5.9187930E-04 -1.0765754E-02
   mg25     25   1.3030763E-04  4.1424896E-04  2.8394134E-04  1.1386722E-04  7.8053032E-05  1.6400896E-01
   mg26     26   6.8130408E-05  3.9325433E-04  3.2512392E-04  1.0809630E-04  8.9373774E-05  8.2600728E-02
   mg27     27   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   al25     25   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   al-6     26   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   al*6     26   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   al27     27   4.7056994E-05  2.5438509E-04  2.0732809E-04  6.9924434E-05  5.6992707E-05  8.8809714E-02
   al28     28   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   si27     27   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   si28     28   1.5476253E-05  2.3995650E-03  2.3840887E-03  6.5958354E-04  6.5536553E-04  2.7862105E-03
   si29     29   3.8388825E-06  1.2922552E-04  1.2538664E-04  3.5521032E-05  3.4467706E-05  1.3073189E-02
   si30     30   7.0652750E-06  9.2568458E-05  8.5503183E-05  2.5444875E-05  2.3504090E-05  3.4456879E-02
    p31     31   8.8204251E-07  2.4686378E-05  2.3804336E-05  6.7857004E-06  6.5436075E-06  1.5777435E-02
    p32     32   6.6789106E-31  6.6789106E-31  0.0000000E+00  1.8358743E-31  0.0000000E+00  0.0000000E+00
    p33     33   1.0427404E-30  1.0427404E-30  0.0000000E+00  2.8662462E-31  0.0000000E+00  0.0000000E+00
    s32     32  -6.0143648E-06  1.1364606E-03  1.1424749E-03  3.1238608E-04  3.1405652E-04 -2.3161513E-03
