  species    A      yield       mass(i)_lost    mass(i)_0        <X(i)>           X0(i)   log10(<X(i)>/X0(i)) 
      n      1   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
      p      1  -1.4019728E-01  2.4275312E+00  2.5677285E+00  6.6727078E-01  7.0584649E-01 -2.4408169E-02
      d      2   1.8458542E-17  1.8458542E-17  0.0000000E+00  5.0738159E-18  0.0000000E+00  0.0000000E+00
    he3      3   4.2599699E-05  4.2599699E-05  0.0000000E+00  1.1709647E-05  0.0000000E+00  0.0000000E+00
    he4      4   1.1370802E-01  1.1320707E+00  1.0183626E+00  3.1117940E-01  2.7993914E-01  4.5947205E-02
    li7      7  -6.7022654E-10  3.2426563E-08  3.3096789E-08  8.9132932E-09  9.0980219E-09 -8.9088352E-03
    be7      7   5.2521520E-12  5.2521520E-12  0.0000000E+00  1.4436921E-12  0.0000000E+00  0.0000000E+00
     b8      8   6.3813096E-24  6.3813096E-24  0.0000000E+00  1.7540707E-24  0.0000000E+00  0.0000000E+00
    c12     12   1.7968547E-03  1.0909310E-02  9.1124550E-03  2.9987106E-03  2.5049355E-03  7.8138016E-02
    c13     13   2.5281804E-03  2.6386054E-03  1.1042506E-04  7.2529010E-04  3.0354900E-05  1.3782830E+00
    c14     14   3.3381883E-07  3.3381883E-07  0.0000000E+00  9.1758885E-08  0.0000000E+00  0.0000000E+00
    n13     13   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    n14     14   1.9001696E-02  2.1695876E-02  2.6941802E-03  5.9636822E-03  7.4060698E-04  9.0592670E-01
    n15     15  -6.2486993E-06  3.8738816E-07  6.6360876E-06  1.0648382E-07  1.8242035E-06 -1.2337897E+00
    o14     14   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o15     15   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o16     16  -1.1286326E-03  2.0875566E-02  2.2004198E-02  5.7381983E-03  6.0487650E-03 -2.2891177E-02
    o17     17   2.4385281E-05  3.3267657E-05  8.8823772E-06  9.1444908E-06  2.4416890E-06  5.7346916E-01
    o18     18  -4.9330447E-05  1.7899991E-07  4.9509446E-05  4.9202832E-08  1.3609721E-05 -2.4418592E+00
    o19     19   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f17     17   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f18     18   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f19     19   4.2122165E-06  5.6379536E-06  1.4257369E-06  1.5497397E-06  3.9192281E-07  5.9705824E-01
    f20     20   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ne19     19   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ne20     20   2.4215318E-05  4.5379624E-03  4.5137471E-03  1.2473783E-03  1.2407904E-03  2.2997705E-03
   ne21     21   2.7122769E-06  1.4073386E-05  1.1361110E-05  3.8684402E-06  3.1230711E-06  9.2954032E-02
   ne22     22   3.7152767E-03  4.0803654E-03  3.6508881E-04  1.1215957E-03  1.0035978E-04  1.0482767E+00
   ne23     23   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   na21     21   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   na22     22   2.5755190E-11  2.5755190E-11  0.0000000E+00  7.0794911E-12  0.0000000E+00  0.0000000E+00
