  species    A      yield       mass(i)_lost    mass(i)_0        <X(i)>           X0(i)   log10(<X(i)>/X0(i)) 
      n      1   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
      p      1  -9.3519211E-02  2.1558721E+00  2.2493913E+00  6.7645812E-01  7.0584649E-01 -1.8469341E-02
      d      2   1.8170124E-17  1.8170124E-17  0.0000000E+00  5.7013254E-18  0.0000000E+00  0.0000000E+00
    he3      3   1.9833895E-04  1.9833895E-04  0.0000000E+00  6.2233747E-05  0.0000000E+00  0.0000000E+00
    he4      4   7.2724223E-02  9.6483421E-01  8.9210999E-01  3.0274057E-01  2.7993914E-01  3.4006964E-02
    li7      7  -2.1490781E-08  7.5027948E-09  2.8993576E-08  2.3541873E-09  9.0980219E-09 -5.8710605E-01
    be7      7   4.6624607E-14  4.6624607E-14  0.0000000E+00  1.4629623E-14  0.0000000E+00  0.0000000E+00
     b8      8   1.9440334E-25  1.9440334E-25  0.0000000E+00  6.0998854E-26  0.0000000E+00  0.0000000E+00
    c12     12   1.5518719E-02  2.3501446E-02  7.9827271E-03  7.3741595E-03  2.5049355E-03  4.6891603E-01
    c13     13   1.8467155E-04  2.8140654E-04  9.6734992E-05  8.8298257E-05  3.0354900E-05  4.6372333E-01
    c14     14   3.0786961E-08  3.0786961E-08  0.0000000E+00  9.6601696E-09  0.0000000E+00  0.0000000E+00
    n13     13   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    n14     14   4.4156965E-03  6.7758625E-03  2.3601661E-03  2.1260942E-03  7.4060698E-04  4.5799476E-01
    n15     15  -4.0080522E-06  1.8053192E-06  5.8133714E-06  5.6646354E-07  1.8242035E-06 -5.0790137E-01
    o14     14   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o15     15   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o16     16  -1.1921413E-03  1.8084062E-02  1.9276204E-02  5.6743212E-03  6.0487650E-03 -2.7752806E-02
    o17     17   4.1627773E-05  4.9408947E-05  7.7811737E-06  1.5503278E-05  2.4416890E-06  8.0273318E-01
    o18     18  -1.5509293E-05  2.7862166E-05  4.3371459E-05  8.7424432E-06  1.3609721E-05 -1.9221643E-01
    o19     19   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f17     17   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f18     18   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f19     19   3.2031185E-06  4.4520980E-06  1.2489795E-06  1.3969558E-06  3.9192281E-07  5.5198210E-01
    f20     20   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ne19     19   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ne20     20  -4.0614977E-06  3.9500888E-03  3.9541502E-03  1.2394380E-03  1.2407904E-03 -4.7360899E-04
   ne21     21   2.2815420E-06  1.2234144E-05  9.9526023E-06  3.8387652E-06  3.1230711E-06  8.9609712E-02
   ne22     22   1.4868089E-03  1.8066354E-03  3.1982650E-04  5.6687649E-04  1.0035978E-04  7.5192875E-01
   ne23     23   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   na21     21   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   na22     22   3.5657041E-14  3.5657041E-14  0.0000000E+00  1.1188278E-14  0.0000000E+00  0.0000000E+00
