  species    A      yield       mass(i)_lost    mass(i)_0        <X(i)>          X0(i)   log10(<X(i)>/X0(i)) 
      n      1   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
      p      1  -2.2165990E-01  2.6869216E+00  2.9085815E+00  6.5200722E-01  7.0584649E-01 -3.4457859E-02
      d      2   2.1127056E-17  2.1127056E-17  0.0000000E+00  5.1266822E-18  0.0000000E+00  0.0000000E+00
    he3      3   3.5879748E-06  3.5879748E-06  0.0000000E+00  8.7065638E-07  0.0000000E+00  0.0000000E+00
    he4      4   1.8966556E-01  1.3432108E+00  1.1535453E+00  3.2594293E-01  2.7993914E-01  6.6077963E-02
    li7      7  -2.6572621E-08  1.0917599E-08  3.7490221E-08  2.6492599E-09  9.0980219E-09 -5.3582239E-01
    be7      7   4.4188997E-12  4.4188997E-12  0.0000000E+00  1.0722883E-12  0.0000000E+00  0.0000000E+00
     b8      8   9.5196026E-25  9.5196026E-25  0.0000000E+00  2.3100226E-25  0.0000000E+00  0.0000000E+00
    c12     12  -4.0277410E-03  6.2943464E-03  1.0322087E-02  1.5273833E-03  2.5049355E-03 -2.1484852E-01
    c13     13   6.9046166E-04  8.1554509E-04  1.2508343E-04  1.9789982E-04  3.0354900E-05  8.1421661E-01
    c14     14   6.6948139E-08  6.6948139E-08  0.0000000E+00  1.6245606E-08  0.0000000E+00  0.0000000E+00
    n13     13   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    n14     14   3.5898894E-02  3.8950711E-02  3.0518190E-03  9.4517628E-03  7.4060698E-04  1.1059250E+00
    n15     15  -6.8009463E-06  7.1604870E-07  7.5169951E-06  1.7375606E-07  1.8242035E-06 -1.0211333E+00
    o14     14   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o15     15   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o16     16  -2.7872398E-03  2.2137906E-02  2.4925146E-02  5.3719748E-03  6.0487650E-03 -5.1532757E-02
    o17     17   3.5695466E-05  4.5756933E-05  1.0061468E-05  1.1103357E-05  2.4416890E-06  6.5776396E-01
    o18     18  -5.6051515E-05  3.0065564E-08  5.6081579E-05  7.2956965E-09  1.3609721E-05 -3.2707825E+00
    o19     19   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f17     17   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f18     18   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f19     19   5.1458551E-07  2.1295818E-06  1.6149963E-06  5.1676341E-07  3.9192281E-07  1.2009122E-01
    f20     20   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ne19     19   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ne20     20  -2.4698675E-06  5.1104543E-03  5.1129241E-03  1.2401006E-03  1.2407904E-03 -2.4150558E-04
   ne21     21  -1.1512849E-05  1.3563897E-06  1.2869238E-05  3.2914093E-07  3.1230711E-06 -9.7719997E-01
   ne22     22   1.8395825E-03  2.2531350E-03  4.1355254E-04  5.4674473E-04  1.0035978E-04  7.3622489E-01
   ne23     23   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   na21     21   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   na22     22   4.8652835E-11  4.8652835E-11  0.0000000E+00  1.1806075E-11  0.0000000E+00  0.0000000E+00
   na23     23   7.4307318E-05  2.1271667E-04  1.3840935E-04  5.1617732E-05  3.3588796E-05  1.8660450E-01
   na24     24   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   mg23     23   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   mg24     24  -6.3035404E-05  2.3759217E-03  2.4389571E-03  5.7654013E-04  5.9187930E-04 -1.1403608E-02
   mg25     25   1.6434703E-04  4.8598016E-04  3.2163312E-04  1.1792773E-04  7.8053032E-05  1.7922616E-01
   mg26     26   9.7503216E-05  4.6578571E-04  3.6828249E-04  1.1302735E-04  8.9373774E-05  1.0197346E-01
   mg27     27   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   al25     25   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   al-6     26   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   al*6     26   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   al27     27   5.6697565E-05  2.9154742E-04  2.3484985E-04  7.0746770E-05  5.6992707E-05  9.3887351E-02
   al28     28   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   si27     27   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   si28     28   2.3656525E-05  2.7242212E-03  2.7005647E-03  6.6105829E-04  6.5536553E-04  3.7561755E-03
   si29     29   5.2329269E-06  1.4726400E-04  1.4203107E-04  3.5735018E-05  3.4467706E-05  1.5681619E-02
   si30     30   9.2630216E-06  1.0611632E-04  9.6853299E-05  2.5750140E-05  2.3504090E-05  3.9636150E-02
    p31     31   1.5887981E-06  2.8553042E-05  2.6964244E-05  6.9286689E-06  6.5436075E-06  2.4832556E-02
    p32     32   2.7750839E-29  2.7750839E-29  0.0000000E+00  6.7340065E-30  0.0000000E+00  0.0000000E+00
    p33     33   3.9831544E-29  3.9831544E-29  0.0000000E+00  9.6655051E-30  0.0000000E+00  0.0000000E+00
    s32     32  -7.7747973E-06  1.2863579E-03  1.2941327E-03  3.1214702E-04  3.1405652E-04 -2.6486362E-03
    s33     33   4.1908788E-07  1.1103540E-05  1.0684452E-05  2.6943801E-06  2.5928732E-06  1.6677596E-02
    s34     34   2.1211017E-06  6.4259038E-05  6.2137937E-05  1.5593070E-05  1.5079462E-05  1.4545790E-02
    s35     35   1.9097522E-22  1.9097522E-22  0.0000000E+00  4.6341962E-23  0.0000000E+00  0.0000000E+00
    s36     36   1.8291718E-07  4.8964318E-07  3.0672601E-07  1.1881660E-07  7.4435420E-08  2.0309749E-01
   cl35     35  -1.1981774E-07  1.3155613E-05  1.3275431E-05  3.1923353E-06  3.2216446E-06 -3.9691357E-03
   cl36     36   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   cl37     37   9.8217834E-07  5.4675124E-06  4.4853341E-06  1.3267442E-06  1.0884884E-06  8.5963391E-02
   ar36     36  -2.8858194E-06  2.4432220E-04  2.4720802E-04  5.9287118E-05  5.9991758E-05 -5.1312577E-03
   ar37     37   5.3493758E-24  5.3493758E-24  0.0000000E+00  1.2980772E-24  0.0000000E+00  0.0000000E+00
   ar38     38   1.2347009E-06  4.8679518E-05  4.7444817E-05  1.1812551E-05  1.1513776E-05  1.1125925E-02
   ar39     39   6.9218248E-10  6.9218248E-10  0.0000000E+00  1.6796470E-10  0.0000000E+00  0.0000000E+00
   ar40     40   1.4140886E-07  2.2128526E-07  7.9876408E-08  5.3696983E-08  1.9384185E-08  4.4250232E-01
    k39     39   1.4904072E-07  1.3019379E-05  1.2870339E-05  3.1592770E-06  3.1233380E-06  4.9687023E-03
    k40     40  -2.0834638E-09  0.0000000E+00  2.0834638E-09  0.0000000E+00  5.0560922E-10  0.0000000E+00
    k41     41   9.8502710E-08  1.0749322E-06  9.7642953E-07  2.6084260E-07  2.3695719E-07  4.1708626E-02
   ca40     40  -1.8923020E-06  2.2093966E-04  2.2283196E-04  5.3613123E-05  5.4076245E-05 -3.7354182E-03
   ca41     41   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ca42     42   1.0657050E-07  1.6681996E-06  1.5616291E-06  4.0480458E-07  3.7897183E-07  2.8638465E-02
   ca43     43   2.8815435E-08  3.6240957E-07  3.3359413E-07  8.7942148E-08  8.0955701E-08  3.5949644E-02
   ca44     44   2.2619133E-08  5.2972541E-06  5.2746350E-06  1.2854293E-06  1.2800336E-06  1.8268082E-03
   ca45     45   1.8783060E-19  1.8783060E-19  0.0000000E+00  4.5578893E-20  0.0000000E+00  0.0000000E+00
   ca46     46   4.3201474E-08  5.3775619E-08  1.0574145E-08  1.3049168E-08  2.5661042E-09  7.0630848E-01
   ca47     47   7.0649198E-36  7.0649198E-36  0.0000000E+00  1.7143703E-36  0.0000000E+00  0.0000000E+00
   ca48     48  -6.0055072E-10  5.1523187E-07  5.1583243E-07  1.2502593E-07  1.2518078E-07 -5.3751818E-04
   sc45     45   3.4233452E-08  1.8304512E-07  1.4881167E-07  4.4417646E-08  3.6113200E-08  8.9889593E-02
   sc46     46   3.1906891E-26  3.1906891E-26  0.0000000E+00  7.7425119E-27  0.0000000E+00  0.0000000E+00
   sc47     47   4.4113416E-35  4.4113416E-35  0.0000000E+00  1.0704542E-35  0.0000000E+00  0.0000000E+00
   sc48     48  -1.1235996E-31  9.3743924E-29  9.3856284E-29  2.2747860E-29  2.2776783E-29  0.0000000E+00
   ti46     46  -9.3635890E-09  8.9979642E-07  9.0916001E-07  2.1834420E-07  2.2063243E-07 -4.5277043E-03
   ti47     47  -1.1026316E-08  8.2669794E-07  8.3772426E-07  2.0060615E-07  2.0329659E-07 -5.7858578E-03
   ti48     48  -1.6128888E-07  8.3158839E-06  8.4771727E-06  2.0179286E-06  2.0572168E-06 -8.3742412E-03
   ti49     49   8.0727602E-08  7.1579171E-07  6.3506411E-07  1.7369371E-07  1.5411560E-07  5.1937506E-02
   ti50     50   1.4423284E-07  7.6471656E-07  6.2048372E-07  1.8556578E-07  1.5057726E-07  9.0738483E-02
    v51     51  -2.1150527E-08  1.3462875E-06  1.3674380E-06  3.2668953E-07  3.3184605E-07 -6.8014273E-03
   cr52     52  -5.8713704E-07  5.5468241E-05  5.6055378E-05  1.3459899E-05  1.3603363E-05 -4.6045086E-03
   cr53     53  -3.8018698E-08  6.4404148E-06  6.4784335E-06  1.5628282E-06  1.5721682E-06 -2.5877748E-03
   cr54     54   4.9248354E-07  2.1355315E-06  1.6430480E-06  5.1820712E-07  3.9873032E-07  1.1382413E-01
   mn55     55  -1.1219163E-07  4.8842412E-05  4.8954604E-05  1.1852078E-05  1.1880167E-05 -1.0280346E-03
   fe54     54  -6.8506633E-06  3.1570773E-04  3.2255839E-04  7.6609496E-05  7.8277582E-05 -9.3547842E-03
   fe55     55  -9.5250637E-14 -9.5250637E-14  0.0000000E+00 -2.3113478E-14  0.0000000E+00  0.0000000E+00
   fe56     56  -6.5874774E-05  5.1850635E-03  5.2509382E-03  1.2582053E-03  1.2742830E-03 -5.5144033E-03
   fe57     57   1.4936435E-05  1.3836952E-04  1.2343308E-04  3.3576685E-05  2.9954399E-05  4.9577229E-02
   fe58     58   3.4973571E-05  5.1688505E-05  1.6714936E-05  1.2542710E-05  4.0563341E-06  4.9025765E-01
   fe59     59   2.3898987E-24  2.3898987E-24  0.0000000E+00  5.7993178E-25  0.0000000E+00  0.0000000E+00
   fe60     60   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   co59     59   1.0133274E-05  2.3023924E-05  1.2890649E-05  5.5869750E-06  3.1282668E-06  2.5187293E-01
   co60     60   3.5987097E-12  3.5987097E-12  0.0000000E+00  8.7326132E-13  0.0000000E+00  0.0000000E+00
   ni58     58  -4.0807063E-06  1.8035898E-04  1.8443969E-04  4.3765831E-05  4.4759308E-05 -9.7481888E-03
   ni59     59   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ni60     60   7.6712022E-06  8.1167680E-05  7.3496478E-05  1.9696114E-05  1.7835922E-05  4.3084972E-02
   ni61     61   2.3411719E-06  5.5893283E-06  3.2481564E-06  1.3563040E-06  7.8825360E-07  2.3569107E-01
   ni62     62   4.0463756E-06  1.4572302E-05  1.0525927E-05  3.5361086E-06  2.5544027E-06  1.4123625E-01
   ni63     63   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ni64     64   2.3527284E-06  5.1199186E-06  2.7671902E-06  1.2423972E-06  6.7153400E-07  2.6719242E-01
   cu63     63   1.9717743E-06  4.2557158E-06  2.2839415E-06  1.0326901E-06  5.5426062E-07  2.7025598E-01
   cu64     64   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   cu65     65   3.5609207E-07  1.4063805E-06  1.0502885E-06  3.4127169E-07  2.5488109E-07  1.2676263E-01
   zn64     64  -7.4340733E-08  3.8387484E-06  3.9130891E-06  9.3150902E-07  9.4961757E-07 -8.3616795E-03
   zn65     65   3.3097399E-19  3.3097399E-19  0.0000000E+00  8.0314003E-20  0.0000000E+00  0.0000000E+00
   zn66     66   3.1571903E-07  2.6308444E-06  2.3151254E-06  6.3839957E-07  5.6182824E-07  5.5489033E-02
   zn67     67   7.3022505E-08  4.1838734E-07  3.4536484E-07  1.0152569E-07  8.3812175E-08  8.3268821E-02
   zn68     68   4.1401381E-07  2.0170132E-06  1.6029994E-06  4.8944753E-07  3.8901143E-07  9.9743776E-02
   zn69     69   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   zn70     70   1.4123707E-09  5.5977942E-08  5.4565572E-08  1.3583583E-08  1.3241821E-08  1.1066627E-02
   ga69     69   5.8074278E-08  2.0503721E-07  1.4696293E-07  4.9754238E-08  3.5664559E-08  1.4459319E-01
   ga70     70   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ga71     71   4.6533039E-08  1.4689481E-07  1.0036177E-07  3.5645428E-08  2.4355515E-08  1.6540653E-01
   ge70     70   8.5472323E-08  2.4893544E-07  1.6346311E-07  6.0406563E-08  3.9668777E-08  1.8263532E-01
