  species    A      yield       mass(i)_lost    mass(i)_0        <X(i)>          X0(i)   log10(<X(i)>/X0(i)) 
      n      1  -1.1210388E-42 -1.1210388E-42  0.0000000E+00 -1.2555634E-42  0.0000000E+00  0.0000000E+00
      p      1  -1.4760971E-02  5.8389980E-01  5.9866077E-01  6.5386313E-01  6.7046791E-01 -1.0891153E-02
      d      2  -8.3432242E-05  1.7634483E-06  8.5195687E-05  1.9747461E-06  9.5414587E-05 -1.6841035E+00
    he3      3   3.3376913E-05  5.7528104E-04  5.4190413E-04  6.4421166E-04  6.0690352E-04  2.5908908E-02
    he4      4   1.4593244E-02  2.8265032E-01  2.6805708E-01  3.1651771E-01  3.0020952E-01  2.2973565E-02
    li7      7  -1.4693153E-08  3.5556946E-10  1.5048723E-08  3.9817408E-10  1.6853761E-08 -1.6266239E+00
    be7      7   3.5748041E-18  3.5748041E-18  0.0000000E+00  4.0031402E-18  0.0000000E+00  0.0000000E+00
     b8      8   4.9986568E-28  4.9986568E-28  0.0000000E+00  5.5975998E-28  0.0000000E+00  0.0000000E+00
    c12     12  -1.3237314E-03  3.1537868E-03  4.4775181E-03  3.5316760E-03  5.0145797E-03 -1.5225369E-01
    c13     13   9.6497854E-05  1.5075528E-04  5.4257431E-05  1.6881891E-04  6.0765407E-05  4.4376469E-01
    c14     14   9.0954737E-16  9.0954737E-16  0.0000000E+00  1.0185301E-15  0.0000000E+00  0.0000000E+00
    n13     13   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    n14     14   1.4459573E-03  2.7696947E-03  1.3237373E-03  3.1015617E-03  1.4825147E-03  3.2058144E-01
    n15     15  -1.3290910E-06  1.8396117E-06  3.1687027E-06  2.0600355E-06  3.5487767E-06 -2.3620398E-01
    o14     14   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o15     15   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o16     16  -6.1728060E-06  1.0952858E-02  1.0959031E-02  1.2265239E-02  1.2273526E-02 -2.9333530E-04
    o17     17   6.0581788E-06  1.0481782E-05  4.4236031E-06  1.1737718E-05  4.9541977E-06  3.7461033E-01
    o18     18  -5.2322703E-06  1.9484736E-05  2.4717006E-05  2.1819413E-05  2.7681719E-05 -1.0335000E-01
    o19     19   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f17     17   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f18     18   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f19     19   2.6137741E-09  7.0316759E-07  7.0055381E-07  7.8742170E-07  7.8458260E-07  1.5687007E-03
    f20     20   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ne19     19   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ne20     20  -1.6530976E-08  2.2178877E-03  2.2179042E-03  2.4836368E-03  2.4839337E-03 -5.1904470E-05
   ne21     21   3.3151082E-10  5.5826204E-06  5.5822888E-06  6.2515346E-06  6.2518634E-06 -2.2832024E-05
   ne22     22  -2.3598695E-06  1.7702680E-04  1.7938667E-04  1.9823830E-04  2.0090342E-04 -5.7997876E-03
   ne23     23   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   na21     21   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   na22     22   9.5327693E-37  9.5327693E-37  0.0000000E+00  1.0674994E-36  0.0000000E+00  0.0000000E+00
   na23     23   2.4712863E-06  6.2507046E-05  6.0035760E-05  6.9996691E-05  6.7236826E-05  1.7470326E-02
   na24     24   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   mg23     23   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   mg24     24  -1.5133992E-09  1.0579661E-03  1.0579677E-03  1.1847325E-03  1.1848669E-03 -4.9237904E-05
   mg25     25  -1.3387762E-09  1.3951566E-04  1.3951700E-04  1.5623253E-04  1.5625154E-04 -5.2836476E-05
   mg26     26   2.5756890E-09  1.5975475E-04  1.5975218E-04  1.7889669E-04  1.7891386E-04 -4.1678410E-05
   mg27     27   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   al25     25   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   al-6     26   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   al*6     26   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   al27     27  -9.6770236E-10  1.0186982E-04  1.0187079E-04  1.1407595E-04  1.1408982E-04 -5.2784697E-05
   al28     28   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   si27     27   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   si28     28  -1.3154931E-08  1.1714105E-03  1.1714237E-03  1.3117699E-03  1.3119316E-03 -5.3535481E-05
   si29     29   5.8935257E-10  6.1606806E-05  6.1606217E-05  6.8988586E-05  6.8995651E-05 -4.4474375E-05
   si30     30   8.0399332E-10  4.2013387E-05  4.2012583E-05  4.7047466E-05  4.7051835E-05 -4.0332212E-05
    p31     31   2.5647751E-10  1.1696534E-05  1.1696277E-05  1.3098022E-05  1.3099202E-05 -3.9115461E-05
    p32     32   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    p33     33   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    s32     32  -8.7311491E-10  5.6136068E-04  5.6136155E-04  6.2862335E-04  6.2869478E-04 -4.9341459E-05
    s33     33   6.5028871E-11  4.6347186E-06  4.6346536E-06  5.1900543E-06  5.1905627E-06 -4.2532731E-05
    s34     34   2.8558134E-10  2.6954158E-05  2.6953872E-05  3.0183826E-05  3.0186888E-05 -4.4034263E-05
    s35     35   1.5742276E-36  1.5742276E-36  0.0000000E+00  1.7628528E-36  0.0000000E+00  0.0000000E+00
    s36     36   7.2475359E-13  1.3305245E-07  1.3305173E-07  1.4899490E-07  1.4901079E-07 -4.6312467E-05
   cl35     35  -4.0017767E-11  5.7583175E-06  5.7583575E-06  6.4482838E-06  6.4490509E-06 -5.1671468E-05
   cl36     36   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   cl37     37   6.8212103E-12  1.9456427E-06  1.9456359E-06  2.1787712E-06  2.1790077E-06 -4.7140908E-05
   ar36     36   1.0259100E-09  1.0723565E-04  1.0723462E-04  1.2008471E-04  1.2009701E-04 -4.4500259E-05
   ar37     37   1.1322415E-37  1.1322415E-37  0.0000000E+00  1.2679076E-37  0.0000000E+00  0.0000000E+00
   ar38     38  -1.1277734E-10  2.0580024E-05  2.0580137E-05  2.3045939E-05  2.3048646E-05 -5.0998355E-05
   ar39     39   1.5530587E-18  1.5530587E-18  0.0000000E+00  1.7391474E-18  0.0000000E+00  0.0000000E+00
   ar40     40   8.3669960E-11  3.4731656E-08  3.4647986E-08  3.8893230E-08  3.8803879E-08  9.9887711E-04
    k39     39  -6.1390892E-11  5.5828436E-06  5.5829050E-06  6.2517847E-06  6.2525537E-06 -5.3406042E-05
    k40     40  -9.0377972E-10  0.0000000E+00  9.0377972E-10  0.0000000E+00  1.0121847E-09  0.0000000E+00
    k41     41  -4.9737992E-12  4.2352607E-07  4.2353105E-07  4.7427332E-07  4.7433201E-07 -5.3742595E-05
   ca40     40  -3.2741809E-10  9.6661053E-05  9.6661381E-05  1.0824306E-04  1.0825555E-04 -5.0118128E-05
   ca41     41   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ca42     42   5.5706550E-12  6.7738574E-07  6.7738017E-07  7.5855064E-07  7.5862943E-07 -4.5095698E-05
   ca43     43   2.0179414E-12  1.4470898E-07  1.4470696E-07  1.6204812E-07  1.6206401E-07 -4.2584506E-05
   ca44     44  -3.1377567E-11  2.2879467E-06  2.2879781E-06  2.5620905E-06  2.5624124E-06 -5.4571046E-05
   ca45     45   5.4078061E-35  5.4078061E-35  0.0000000E+00  6.0557738E-35  0.0000000E+00  0.0000000E+00
   ca46     46   1.4210855E-14  4.5865960E-09  4.5865818E-09  5.1361657E-09  5.1367248E-09 -4.7270350E-05
   ca47     47   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ca48     48   2.8137492E-12  2.2375542E-07  2.2375261E-07  2.5056599E-07  2.5059089E-07 -4.3154054E-05
   sc45     45   9.4502184E-13  6.4551763E-08  6.4550818E-08  7.2286412E-08  7.2293453E-08 -4.2299733E-05
   sc46     46   3.2293217E-39  3.2293217E-39  0.0000000E+00  3.6162623E-39  0.0000000E+00  0.0000000E+00
