  species    A      yield       mass(i)_lost    mass(i)_0        <X(i)>          X0(i)   log10(<X(i)>/X0(i)) 
      n      1   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
      p      1  -3.0496955E-02  1.3485885E+00  1.3790854E+00  6.5560937E-01  6.7046791E-01 -9.7328601E-03
      d      2  -1.8116694E-04  1.5091331E-05  1.9625826E-04  7.3365736E-06  9.5414587E-05 -1.1141216E+00
    he3      3  -3.7359388E-04  8.7474601E-04  1.2483399E-03  4.2525330E-04  6.0690352E-04 -1.5447196E-01
    he4      4   2.7731717E-02  6.4523268E-01  6.1750096E-01  3.1367657E-01  3.0020952E-01  1.9057611E-02
    li7      7  -2.4016700E-08  1.0649802E-08  3.4666503E-08  5.1773470E-09  1.6853761E-08 -5.1258957E-01
    be7      7   1.2379087E-17  1.2379087E-17  0.0000000E+00  6.0180301E-18  0.0000000E+00  0.0000000E+00
     b8      8   3.3191800E-27  3.3191800E-27  0.0000000E+00  1.6136024E-27  0.0000000E+00  0.0000000E+00
    c12     12  -1.4022309E-03  8.9122579E-03  1.0314489E-02  4.3326486E-03  5.0145797E-03 -6.3481070E-02
    c13     13   1.8583283E-04  3.1082120E-04  1.2498836E-04  1.5110413E-04  6.0765407E-05  3.9561993E-01
    c14     14   2.0465803E-08  2.0465803E-08  0.0000000E+00  9.9493453E-09  0.0000000E+00  0.0000000E+00
    n13     13   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    n14     14   4.4724871E-03  7.5218715E-03  3.0493843E-03  3.6567193E-03  1.4825147E-03  3.9209265E-01
    n15     15  -3.3314400E-06  3.9680385E-06  7.2994785E-06  1.9290417E-06  3.5487767E-06 -2.6473707E-01
    o14     14   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o15     15   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o16     16  -6.9858879E-04  2.4546826E-02  2.5245415E-02  1.1933314E-02  1.2273526E-02 -1.2208290E-02
    o17     17   5.9812788E-05  7.0003080E-05  1.0190290E-05  3.4031640E-05  4.9541977E-06  8.3690953E-01
    o18     18  -1.5597761E-05  4.1340765E-05  5.6938527E-05  2.0097601E-05  2.7681719E-05 -1.3904883E-01
    o19     19   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f17     17   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f18     18   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f19     19   4.6594243E-07  2.0797504E-06  1.6138080E-06  1.0110600E-06  7.8458260E-07  1.1013829E-01
    f20     20   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
