  species    A      yield       mass(i)_lost    mass(i)_0        <X(i)>          X0(i)   log10(<X(i)>/X0(i)) 
      n      1   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
      p      1  -7.0340157E-02  1.3241661E+00  1.3945062E+00  6.3661832E-01  6.7046791E-01 -2.2498859E-02
      d      2  -1.8622204E-04  1.2230765E-05  1.9845281E-04  5.8801756E-06  9.5414587E-05 -1.2102245E+00
    he3      3  -4.0348037E-04  8.5881830E-04  1.2622987E-03  4.1289342E-04  6.0690352E-04 -1.6728169E-01
    he4      4   5.3549290E-02  6.7795509E-01  6.2440580E-01  3.2593995E-01  3.0020952E-01  3.5713144E-02
    li7      7  -2.4778489E-08  1.0275651E-08  3.5054139E-08  4.9402167E-09  1.6853761E-08 -5.3295088E-01
    be7      7   2.0813758E-17  2.0813758E-17  0.0000000E+00  1.0006615E-17  0.0000000E+00  0.0000000E+00
     b8      8   5.7407455E-28  5.7407455E-28  0.0000000E+00  2.7599739E-28  0.0000000E+00  0.0000000E+00
    c12     12   9.4229653E-03  1.9852789E-02  1.0429824E-02  9.5446100E-03  5.0145797E-03  2.7952364E-01
    c13     13   1.8010239E-04  3.0648836E-04  1.2638597E-04  1.4735018E-04  6.0765407E-05  3.8469422E-01
    c14     14   1.7111315E-08  1.7111315E-08  0.0000000E+00  8.2265936E-09  0.0000000E+00  0.0000000E+00
    n13     13   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    n14     14   4.3644067E-03  7.4478891E-03  3.0834822E-03  3.5807160E-03  1.4825147E-03  3.8297090E-01
    n15     15  -3.4357968E-06  3.9453034E-06  7.3811002E-06  1.8967805E-06  3.5487767E-06 -2.7206159E-01
    o14     14   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
