  species    A      yield       mass(i)_lost    mass(i)_0        <X(i)>          X0(i)   log10(<X(i)>/X0(i)) 
      n      1   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
      p      1  -5.3098440E-02  1.4868321E+00  1.5399306E+00  6.4729309E-01  6.7046791E-01 -1.5277028E-02
      d      2  -2.1612075E-04  3.0274687E-06  2.1914822E-04  1.3180099E-06  9.5414587E-05 -1.8596960E+00
    he3      3  -4.4727931E-04  9.4665668E-04  1.3939360E-03  4.1212744E-04  6.0690352E-04 -1.6808814E-01
    he4      4   4.4348121E-02  7.3386931E-01  6.8952119E-01  3.1949034E-01  3.0020952E-01  2.7033295E-02
    li7      7  -2.8650419E-08  1.0059298E-08  3.8709718E-08  4.3793200E-09  1.6853761E-08 -5.8529019E-01
    be7      7   1.5456614E-17  1.5456614E-17  0.0000000E+00  6.7290444E-18  0.0000000E+00  0.0000000E+00
     b8      8   5.5934966E-28  5.5934966E-28  0.0000000E+00  2.4351314E-28  0.0000000E+00  0.0000000E+00
    c12     12   2.8022630E-03  1.4319750E-02  1.1517487E-02  6.2341099E-03  5.0145797E-03  9.4539903E-02
    c13     13   2.0260761E-04  3.4217359E-04  1.3956598E-04  1.4896544E-04  6.0765407E-05  3.8942909E-01
    c14     14   4.4992515E-08  4.4992515E-08  0.0000000E+00  1.9587512E-08  0.0000000E+00  0.0000000E+00
    n13     13   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    n14     14   5.1517189E-03  8.5567581E-03  3.4050394E-03  3.7251886E-03  1.4825147E-03  4.0014926E-01
    n15     15  -3.7910945E-06  4.3597352E-06  8.1508297E-06  1.8980128E-06  3.5487767E-06 -2.7177954E-01
    o14     14   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o15     15   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o16     16  -1.0842104E-03  2.7105622E-02  2.8189832E-02  1.1800446E-02  1.2273526E-02 -1.7070936E-02
    o17     17   6.0318172E-05  7.1696973E-05  1.1378800E-05  3.1213312E-05  4.9541977E-06  7.9936653E-01
    o18     18  -1.8139632E-05  4.5439738E-05  6.3579369E-05  1.9782212E-05  2.7681719E-05 -1.4591821E-01
    o19     19   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f17     17   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f18     18   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f19     19   1.9321851E-06  3.7342143E-06  1.8020291E-06  1.6256919E-06  7.8458260E-07  3.1639954E-01
    f20     20   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ne19     19   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ne20     20  -6.1420724E-07  5.7044844E-03  5.7050986E-03  2.4834499E-03  2.4839337E-03 -8.4603591E-05
   ne21     21   8.4528892E-07  1.5204568E-05  1.4359279E-05  6.6193156E-06  6.2518634E-06  2.4803609E-02
   ne22     22   2.1917119E-03  2.6531469E-03  4.6143495E-04  1.1550487E-03  2.0090342E-04  7.5961298E-01
   ne23     23   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   na21     21   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   na22     22   1.0269951E-21  1.0269951E-21  0.0000000E+00  4.4710278E-22  0.0000000E+00  0.0000000E+00
   na23     23   7.4907919E-05  2.2933744E-04  1.5442952E-04  9.9842160E-05  6.7236826E-05  1.7170675E-01
   na24     24   1.0992568E-37  1.0992568E-37  0.0000000E+00  4.7856192E-38  0.0000000E+00  0.0000000E+00
