  species    A      yield       mass(i)_lost    mass(i)_0        <X(i)>          X0(i)   log10(<X(i)>/X0(i)) 
      n      1   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
      p      1  -7.4984431E-02  1.4729918E+00  1.5479763E+00  6.3793498E-01  6.7046791E-01 -2.1601574E-02
      d      2  -2.1638205E-04  3.9111437E-06  2.2029319E-04  1.6938691E-06  9.5414587E-05 -1.7507349E+00
    he3      3  -4.7042844E-04  9.3079038E-04  1.4012188E-03  4.0311407E-04  6.0690352E-04 -1.7769170E-01
    he4      4   5.8912396E-02  7.5203615E-01  6.9312376E-01  3.2569778E-01  3.0020952E-01  3.5390340E-02
    li7      7  -2.8410089E-08  1.0501875E-08  3.8911963E-08  4.5482351E-09  1.6853761E-08 -5.6885397E-01
    be7      7   3.9350153E-17  3.9350153E-17  0.0000000E+00  1.7042076E-17  0.0000000E+00  0.0000000E+00
     b8      8   3.7786006E-28  3.7786006E-28  0.0000000E+00  1.6364663E-28  0.0000000E+00  0.0000000E+00
    c12     12   8.4839761E-03  2.0061638E-02  1.1577662E-02  8.6884527E-03  5.0145797E-03  2.3870790E-01
    c13     13   2.0047155E-04  3.4076671E-04  1.4029516E-04  1.4758194E-04  6.0765407E-05  3.8537681E-01
    c14     14   3.6118497E-08  3.6118497E-08  0.0000000E+00  1.5642485E-08  0.0000000E+00  0.0000000E+00
    n13     13   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    n14     14   5.1089595E-03  8.5317893E-03  3.4228298E-03  3.6950149E-03  1.4825147E-03  3.9661717E-01
    n15     15  -3.8850771E-06  4.3083378E-06  8.1934149E-06  1.8658890E-06  3.5487767E-06 -2.7919289E-01
    o14     14   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o15     15   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o16     16  -1.2327302E-03  2.7104385E-02  2.8337115E-02  1.1738582E-02  1.2273526E-02 -1.9353731E-02
    o17     17   6.0094699E-05  7.1532952E-05  1.1438252E-05  3.0980056E-05  4.9541977E-06  7.9610884E-01
    o18     18  -1.8995590E-05  4.4915956E-05  6.3911546E-05  1.9452558E-05  2.7681719E-05 -1.5321633E-01
    o19     19   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f17     17   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f18     18   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f19     19   4.1252679E-06  5.9367121E-06  1.8114442E-06  2.5711183E-06  7.8458260E-07  5.1548338E-01
    f20     20   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ne19     19   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ne20     20   6.0372986E-06  5.7409429E-03  5.7349056E-03  2.4863330E-03  2.4839337E-03  4.1930552E-04
   ne21     21   1.2515366E-06  1.5685839E-05  1.4434302E-05  6.7933470E-06  6.2518634E-06  3.6074303E-02
   ne22     22   3.9869458E-03  4.4507915E-03  4.6384582E-04  1.9275841E-03  2.0090342E-04  9.8202598E-01
   ne23     23   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   na21     21   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   na22     22   1.7225592E-21  1.7225592E-21  0.0000000E+00  7.4601957E-22  0.0000000E+00  0.0000000E+00
   na23     23   1.0921129E-04  2.6444768E-04  1.5523638E-04  1.1452910E-04  6.7236826E-05  2.3130862E-01
   na24     24  -2.1067121E-41 -2.1067121E-41  0.0000000E+00 -9.1238543E-42  0.0000000E+00  0.0000000E+00
