  species    A      yield       mass(i)_lost    mass(i)_0        <X(i)>          X0(i)   log10(<X(i)>/X0(i)) 
      n      1   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
      p      1  -1.6297221E-01  2.6078706E+00  2.7708428E+00  6.3098735E-01  6.7046791E-01 -2.6357351E-02
      d      2  -3.9431718E-04  2.6795488E-09  3.9431985E-04  6.4833022E-10  9.5414587E-05 -5.1678185E+00
    he3      3  -1.7988116E-03  7.0933864E-04  2.5081502E-03  1.7162804E-04  6.0690352E-04 -5.4853141E-01
    he4      4   1.5089178E-01  1.3915677E+00  1.2406759E+00  3.3669677E-01  3.0020952E-01  4.9814474E-02
    li7      7   1.6350421E-07  2.3315576E-07  6.9651541E-08  5.6413203E-08  1.6853761E-08  5.2468395E-01
    be7      7   9.8137965E-12  9.8137965E-12  0.0000000E+00  2.3744971E-12  0.0000000E+00  0.0000000E+00
     b8      8   2.5179685E-24  2.5179685E-24  0.0000000E+00  6.0923506E-25  0.0000000E+00  0.0000000E+00
    c12     12   2.6230160E-03  2.3346771E-02  2.0723755E-02  5.6488677E-03  5.0145797E-03  5.1726881E-02
    c13     13   1.3075465E-03  1.5586717E-03  2.5112520E-04  3.7712842E-04  6.0765407E-05  7.9283285E-01
    c14     14   4.0820339E-08  4.0820339E-08  0.0000000E+00  9.8766852E-09  0.0000000E+00  0.0000000E+00
    n13     13   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    n14     14   1.2957543E-02  1.9084331E-02  6.1267880E-03  4.6175495E-03  1.4825147E-03  4.9341255E-01
    n15     15  -1.3964046E-05  7.0198291E-07  1.4666029E-05  1.6984828E-07  3.5487767E-06 -1.3200176E+00
    o14     14   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o15     15   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o16     16  -4.2886846E-03  4.6434116E-02  5.0722800E-02  1.1234966E-02  1.2273526E-02 -3.8397565E-02
    o17     17   8.0799582E-05  1.0127379E-04  2.0474212E-05  2.4503701E-05  4.9541977E-06  6.9425833E-01
    o18     18  -6.2043735E-05  5.2356500E-05  1.1440023E-04  1.2667917E-05  2.7681719E-05 -3.3948785E-01
    o19     19   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f17     17   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f18     18   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f19     19   1.7828329E-06  5.0252775E-06  3.2424446E-06  1.2158911E-06  7.8458260E-07  1.9025600E-01
    f20     20   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ne19     19   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ne20     20  -1.1424534E-05  1.0253929E-02  1.0265353E-02  2.4809893E-03  2.4839337E-03 -5.1509961E-04
   ne21     21   6.8047484E-06  3.2641823E-05  2.5837075E-05  7.8978528E-06  6.2518634E-06  1.0149955E-01
   ne22     22   1.3699529E-03  2.2002265E-03  8.3027361E-04  5.3235580E-04  2.0090342E-04  4.2321467E-01
   ne23     23   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   na21     21   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   na22     22   5.4884170E-12  5.4884170E-12  0.0000000E+00  1.3279499E-12  0.0000000E+00  0.0000000E+00
   na23     23   1.2978251E-04  4.0765211E-04  2.7786961E-04  9.8633471E-05  6.7236826E-05  1.6641712E-01
   na24     24   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   mg23     23   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   mg24     24  -5.5309385E-05  4.8413901E-03  4.8966995E-03  1.1713986E-03  1.1848669E-03 -4.9648811E-03
   mg25     25   7.5670134E-05  7.2141085E-04  6.4574071E-04  1.7454896E-04  1.5625154E-04  4.8092932E-02
   mg26     26   5.7816273E-05  7.9721358E-04  7.3939731E-04  1.9288981E-04  1.7891386E-04  3.2665323E-02
   mg27     27   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   al25     25   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   al-6     26   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   al*6     26   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   al27     27   3.4301600E-05  5.0580059E-04  4.7149899E-04  1.2238098E-04  1.1408982E-04  3.0467045E-02
   al28     28   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   si27     27   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   si28     28   4.8684888E-06  5.4266881E-03  5.4218196E-03  1.3130143E-03  1.3119316E-03  3.5826932E-04
   si29     29   2.1920714E-06  2.8733039E-04  2.8513832E-04  6.9521026E-05  6.8995651E-05  3.2944572E-03
   si30     30   4.3392938E-06  1.9879041E-04  1.9445112E-04  4.8098333E-05  4.7051835E-05  9.5534464E-03
    p31     31   4.3772161E-07  5.4572796E-05  5.4135075E-05  1.3204161E-05  1.3099202E-05  3.4659836E-03
    p32     32   2.5854949E-30  2.5854949E-30  0.0000000E+00  6.2557346E-31  0.0000000E+00  0.0000000E+00
    p33     33   2.6147574E-29  2.6147574E-29  0.0000000E+00  6.3265362E-30  0.0000000E+00  0.0000000E+00
    s32     32  -3.9667357E-06  2.5942402E-03  2.5982070E-03  6.2768941E-04  6.2869478E-04 -6.9505058E-04
    s33     33   4.4814442E-07  2.1899183E-05  2.1451038E-05  5.2986170E-06  5.1905627E-06  8.9481147E-03
    s34     34   1.0956574E-06  1.2584901E-04  1.2475335E-04  3.0449797E-05  3.0186888E-05  3.7660813E-03
    s35     35   4.9203037E-24  4.9203037E-24  0.0000000E+00  1.1904921E-24  0.0000000E+00  0.0000000E+00
    s36     36   8.0793484E-08  6.9661041E-07  6.1581693E-07  1.6854837E-07  1.4901079E-07  5.3506836E-02
   cl35     35  -7.7778168E-08  2.6574213E-05  2.6651991E-05  6.4297637E-06  6.4490509E-06 -1.3008005E-03
   cl36     36   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   cl37     37   7.2226067E-07  9.7274451E-06  9.0051844E-06  2.3536040E-06  2.1790077E-06  3.3474632E-02
   ar36     36  -1.6621198E-06  4.9466279E-04  4.9632491E-04  1.1968613E-04  1.2009701E-04 -1.4883763E-03
   ar37     37   8.4759941E-24  8.4759941E-24  0.0000000E+00  2.0508092E-24  0.0000000E+00  0.0000000E+00
   ar38     38   7.0498209E-07  9.5958123E-05  9.5253141E-05  2.3217548E-05  2.3048646E-05  3.1709203E-03
   ar39     39   4.4377013E-10  4.4377013E-10  0.0000000E+00  1.0737240E-10  0.0000000E+00  0.0000000E+00
   ar40     40   3.4592261E-08  1.9495705E-07  1.6036479E-07  4.7170833E-08  3.8803879E-08  8.4798411E-02
